jrsj（接入时间）|jgdm（机构代码）|jgmc（机构名称）|jglx（机构类型）|fddbr（法人代表）|jyfw（经营范围）|jjhy（经济行业）|jjlx（经济类型）|zcrq（注册日期）|pzjgdm（批准机构代码）|xzqh（行政区划）|jgdz（机构地址）|yzbm（邮政编码）|dhhm（电话号码）|bzrq（办证日期）|zfrq（作废日期）|bzjgdm（办证机构代码）|zczj（注册资金）|hbzl（货币种类）|wftzg（外方投资国）|zgrs（职工人数）|bgrq（变更日期）|zchm（注册号码）|zgjg（主管机构）|pzjg（批准机构）|zj（主键）|jj（简介）
2018-12-08 17:23:25|1426700|重庆交通职业学院|理工类||民办|教育||2007||重庆市|重庆双福新区学院大道7号|402247|023-63437777||||||||2019-03-28 12:19:29||重庆市教育委员会|重庆市教育委员会||重庆交通职业学院是经重庆市人民政府批准设立，教育部备案的全日制普通高等院校。学校坐落于重庆双福新区，占地896.5亩。全日制在校生11668人。学校坚持“立足交通、面向市场、服务社
2018-12-08 17:23:23|1362700|重庆邮电大学移通学院|理工类||民办|教育||2000||重庆市|重庆市合川大学城假日大道1号|401520|023-42871001,023-42870166||||||||2019-04-01 10:10:54||重庆市教育委员会|重庆市教育委员会||全国十佳优秀独立学院中国十大品牌独立学院最具综合实力中外合作院校中国社会影响力就业典型高校西部信息产业国际化人才的摇篮中国应用技术大学改革研究试点院校重庆邮电大学移通
2018-12-08 17:23:22|1371400|广州工商学院|财经类||民办|教育||1995||广州市|校本部（花都校区）：广州市花都区狮岭镇海布光明路5号；三水校区：佛山市三水区乐平镇范湖三花公路中23号|510850|020-86914402,020-86929603||||||||2019-03-28 12:19:29||广东省教育厅|广东省教育厅||广州工商学院是教育部批准设立的民办全日制普通本科院校,创建于1995年，2004年独立设置为广州工商职业技术学院，2014年5月升格本科并更名为广州工商学院。学院现有广州花都和佛山三水
2018-12-08 17:23:23|1329600|黑龙江外国语学院|语言类||民办|教育||1996||哈尔滨市|黑龙江省哈尔滨市利民开发区师大南路1号|150025|0451-88121000,0451-88121111||||||||2019-03-28 12:19:29||黑龙江省教育厅|黑龙江省教育厅||黑龙江外国语学院(以下简称“龙外”)是经国家教育部批准设立的全日制普通本科高校。是黑龙江省唯一一所外语类普通本科院校。学校坐落于“北国冰城”——哈尔滨，始创于1993年，2003年
2018-12-08 17:23:23|1347100|集美大学诚毅学院|其他||公办|教育||2003||厦门市|福建省厦门市集美区集美大道199号|361021|0592-6182895,0592-6183328||||||||2019-03-28 12:19:29||福建省教育厅|福建省教育厅||集美大学诚毅学院创办于2003年，是经国家教育部批准，由集美大学与福建集美大学教育发展基金会合作举办的独立学院，属全日制本科学历教育。其举办者集美大学，是福建省属公办全日制
2018-12-08 17:23:23|1346900|厦门大学嘉庚学院|综合类||民办|教育||2003||漳州市|福建省·招商局漳州开发区厦门大学漳州校区嘉庚学院|363105|0596-6288416,0596-6288814||||||||2019-03-28 12:19:29||福建省教育厅|福建省教育厅||厦门大学嘉庚学院创办于2003年，是经国家教育部批准，由教育部直属重点大学厦门大学和厦门嘉庚教育发展有限公司共同举办的，按新机制和新模式运作的独立学院。2010年7月，学校获评“
2018-12-08 17:23:25|1428100|承德护理职业学院|医药类||公办|教育||1978||承德市|河北省承德市双桥区下二道河子|067000|0314-2157600,0314-2158003||||||||2019-03-28 12:19:29||河北省教育厅|河北省教育厅||承德护理职业学院建于1978年，原为承德卫生学校。2010年升格为专科层次的普通高等院校。学院坚持“以服务为宗旨、以就业为导向，以质量为根本、以特色促发展”的办学方针，坚持“立
2018-12-08 17:23:22|1177500|防灾科技学院|理工类||公办|教育||1975||廊坊市|北京东燕郊国家高新技术产业开发区学院大街465号|101601|010-61596244,010-61595011||||||||2019-03-28 12:19:29||中国地震局|中国地震局||防灾科技学院隶属于中国地震局，是全国仅有的以防灾减灾高等教育为主、学科门类齐全的综合性全日制普通高等学校。学院始建于1975年。学院面向全国招生，现有全日制在校生8000余人。
2018-12-08 17:23:23|1350200|河南师范大学新联学院|师范类||民办|教育||2003||郑州市|郑州校区地址：河南省郑州市郑东新区郑开大道50号;新乡校区地址：河南省新乡市国家新乡经济技术开发区|453007|0371-85302888,0371-3329008||||||||2019-03-28 12:19:29||河南省教育厅|河南省教育厅||河南师范大学新联学院是2003年经中华人民共和国教育部批准的具有学士学位授予权的全日制公益性本科院校。学校现有郑州、新乡两个校区，占地面积961亩，总建筑面积64万平方米，全日制
2018-12-08 17:23:25|5172100|河北环境工程学院|综合类||公办|教育||1981||秦皇岛市|河北省秦皇岛市北戴河区金港大道8号|066102|0335-7815777,0335-7815802||||||||2019-03-28 12:19:29||河北省教育厅|河北省教育厅||地理位置：河北环境工程学院坐落在气候宜人、环境优美的避暑圣地河北省秦皇岛市北戴河区，拥有得天独厚的区位优势。秦皇岛是河北省省辖市，中国首批沿海开放城市之一，北方重要的
2018-12-08 17:23:21|1061000|四川大学|综合类||公办|教育||0000||成都市|四川省成都市一环路南一段24号|610065|028-86081605,028-86080605||||||||2019-03-28 12:19:29||教育部|教育部||岷峨挺秀，锦水含章。巍巍学府，德渥群芳。四川大学是教育部直属全国重点大学，是国家布局在中国西部的重点建设的高水平研究型综合大学。四川大学地处中国历史文化名城——“天府
2018-12-08 17:23:21|1038400|厦门大学|综合类||公办|教育||1921||厦门市|福建省厦门市思明区思明南路422号|361005|0592-2188888,0592-2180256||||||||2019-03-28 12:19:29||教育部|教育部||厦门大学(XiamenUniversity)，简称厦大(XMU)，由著名爱国华侨领袖陈嘉庚先生于1921年创办，是中国近代教育史上第一所华侨创办的大学，也是国家“211工程”和“985工程”重点建设的高水平大学
2018-12-08 17:23:21|1000100|北京大学|综合类||公办|教育||0000||北京市|北京市海淀区颐和园路5号|100871|010-62751407,010-62554332||||||||2019-05-08 09:54:53||教育部|教育部||北京大学创办于1898年，初名京师大学堂，是中国第一所国立综合性大学，也是当时中国最高教育行政机关。辛亥革命后，于1912年改为现名。作为新文化运动的中心和“五四”运动的策源地
2018-12-08 17:23:21|1048600|武汉大学|综合类||公办|教育||0000||武汉市|湖北省武汉市武昌区八一路299号|430072|027-68754231||||||||2019-03-28 12:19:29||教育部|教育部||江城多山，珞珈独秀;山上有黉，武汉大学。武汉大学是国家教育部直属重点综合性大学，是国家“985工程”和“211工程”重点建设高校，是首批“双一流”建设高校。武汉大学溯源于1893年
2018-12-08 17:23:21|1028400|南京大学|综合类||公办|教育||1902||南京市|仙林校区地址：江苏省南京市仙林大道163号;鼓楼校区地址：江苏省南京市汉口路22号|210093|400-185-9680||||||||2019-03-28 12:19:29||教育部|教育部||南京大学坐落于钟灵毓秀、虎踞龙蟠的金陵古都，是一所历史悠久、声誉卓著的百年名校。其前身是创建于1902年的三江师范学堂，此后历经两江师范学堂、南京高等师范学校、国立东南大学
2018-12-08 17:23:21|1055800|中山大学|综合类||公办|教育||1924||广州市|广东省广州市新港西路135号|510275|020-84036491,020-84111598||||||||2019-03-28 00:00:16||教育部直属综合性重点大学|教育部直属综合性重点大学||中山大学由孙中山先生创办，有着一百多年办学传统。作为中国教育部直属高校，通过部省共建，中山大学已经成为一所国内一流、国际知名的现代综合性大学。现由广州校区、珠海校区、
2018-12-08 17:23:21|1033500|浙江大学|综合类||公办|教育||0000||杭州市|浙江省杭州市西湖区余杭塘路388号|310058|0571-87951006,0571-88981979||||||||2019-03-28 12:19:29||教育部|教育部||浙江大学是一所历史悠久、声誉卓著的高等学府，坐落于中国历史文化名城、风景旅游胜地杭州。浙江大学的前身求是书院创立于1897年，为中国人自己最早创办的新式高等学校之一。1928年
2018-12-08 17:23:21|1024800|上海交通大学|综合类||公办|教育||0000||上海市|上海市东川路800号|200240|021-34200000,021-34207255||||||||2019-03-28 12:19:29||教育部|教育部||上海交通大学是我国历史最悠久、享誉海内外的著名高等学府之一，是教育部直属并与上海市共建的全国重点大学。经过122年的不懈努力，上海交通大学已经成为一所“综合性、研究型、国
2018-12-08 17:23:21|1028500|苏州大学|综合类||公办|教育||0000||苏州市|天赐庄校区坐落于江苏省苏州市十梓街1号；独墅湖校区坐落于苏州工业园区仁爱路199号|215021|0512-67507943,0512-67507949||||||||2019-03-28 00:00:16||江苏省教育厅|江苏省教育厅||苏州大学坐落于素有“人间天堂”之称的历史文化名城苏州，是国家“211工程”重点建设高校、“2011计划”首批入选高校，“双一流”建设入列高校,国防科技工业局和江苏省人民政府共建
2018-12-08 17:23:21|1000300|清华大学|理工类||公办|教育||1911||北京市|北京市海淀区清华园1号|100084|010-62782051,010-62770334||||||||2019-03-28 12:19:29||教育部|教育部||清华大学的前身清华学堂始建于1911年，1912年更名为清华学校。1928年更名为国立清华大学。1937年抗日战争全面爆发后南迁长沙，与北京大学、南开大学组建国立长沙临时大学，1938年迁至昆
2018-12-08 17:23:21|1061300|西南交通大学|理工类||公办|教育||0000||成都市|四川省成都市高新区西部园区西南交通大学|610031|028-66366373,028-66366379,028-66368074||||||||2019-03-28 00:00:16||教育部|教育部||西南交通大学是教育部直属全国重点大学，国家首批“双一流”“211工程”“特色985工程”“2011计划”重点建设并设有研究生院的研究型大学，坐落于中国历史文化名城、国家中心城市——
2018-12-08 17:23:22|1063500|西南大学|综合类||公办|教育||1906||重庆市|重庆市北碚区天生路2号|400715|023-68252513,023-68250942||||||||2019-03-28 12:19:29||教育部|教育部||西南大学(SouthwestUniversity)是教育部直属，教育部、农业部、重庆市共建的重点综合大学，是国家&quot;211工程&quot;和&quot;985工程优势学科创新平台&quot;建设高校。学校主体位于重庆市北碚区，
2018-12-08 17:23:21|1045900|郑州大学|综合类||公办|教育||1956||郑州市|郑州市科学大道100号|450001|0371-67781111,0371-67731111,0371-67783333||||||||2019-03-28 12:19:29||河南省人民政府|河南省人民政府||郑州大学(简称郑大，英文简称：ZZU)由河南省人民政府举办，法定住所地为河南省郑州市科学大道100号。学校总占地面积5700余亩，现有四个校区：主校区(郑州市科学大道100号)、南校区(郑州
2018-12-08 17:23:21|1053300|中南大学|综合类||公办|教育||2000||长沙市|湖南省长沙市麓山南路932号|410083|0731-88830995||||||||2019-03-28 12:19:29||教育部|教育部||中南大学坐落在中国历史文化名城──湖南省长沙市，占地面积5886亩，建筑面积276万平方米，跨湘江两岸，依巍巍岳麓，临滔滔湘水，环境幽雅，景色宜人，是求知治学的理想园地。中南大
2018-12-08 17:23:21|1071000|长安大学|理工类||公办|教育||2000||西安市|陕西省西安市南二环路中段|710064|029-82334104,029-82334813||||||||2019-03-28 12:19:29||教育部|教育部||长安大学直属国家教育部，是教育部和交通运输部、国土资源部、住房和城乡建设部、陕西省人民政府共建的国家“211工程”重点建设大学，国家“985工程优势学科创新平台”建设高校，国
2018-12-08 17:23:21|1042200|山东大学|综合类||公办|教育||0000||济南市|山东省济南市山大南路27号|250100|0531-88364787||||||||2019-03-28 12:19:29||教育部|教育部||山东大学是一所历史悠久、学科齐全、学术实力雄厚、办学特色鲜明，在国内外具有重要影响的教育部直属重点综合性大学，是世界一流大学建设高校(A类)。山东大学是中国近代高等教育的
2018-12-08 17:23:21|1061100|重庆大学|综合类||公办|教育||1929||重庆市|重庆市沙坪坝区沙正街174号|400044|023-65102371,023-65102370||||||||2019-03-28 12:19:29||教育部|教育部||重庆大学是教育部直属的全国重点大学，是国家“211工程”和“985工程”重点建设的高水平研究型综合性大学，是国家“世界一流大学建设高校(A类)”。学校地处国家西南工商业重镇、长江
2018-12-08 17:23:21|1024600|复旦大学|综合类||公办|教育||1905||上海市|上海市杨浦区邯郸路220号|200433|021-55666668,021-55664345||||||||2019-03-28 12:19:29||教育部|教育部||复旦大学校名取自《尚书大传》之“日月光华，旦复旦兮”，始创于1905年，原名复旦公学，1917年定名为复旦大学，是中国人自主创办的第一所高等院校。上海医科大学前身是1927年创办的国
2018-12-08 17:23:21|1018300|吉林大学|综合类||公办|教育||1946||长春市|前卫南区：长春市前进大街2699号;前卫北区：长春市解放大路123号|130012|0431-85166420,0431-85166226||||||||2019-03-28 12:19:29||教育部|教育部||吉林大学是教育部直属的全国重点综合性大学，坐落在吉林省长春市。学校始建于1946年，1960年被列为国家重点大学，1984年成为首批建立研究生院的22所大学之一，1995年首批通过国家教委“2
2018-12-08 17:23:22|1106500|青岛大学|综合类||公办|教育||1909||青岛市|青岛大学博文楼201A|266071|0532-83780009,0532-83780001||||||||2019-03-28 12:19:29||山东省教育厅|山东省教育厅||青岛大学位于历史文化名城青岛，背依浮山，面向黄海，承载着深厚的传统文化，也充满了浓郁的时代气息。学校是山东省属重点综合大学，山东省首批应用基础型人才培养特色名校建设单
2018-12-08 17:23:21|1005600|天津大学|理工类||公办|教育||0000||天津市|天津市南开区卫津路92号|300072|022-27405486,022-27401800||||||||2019-03-28 12:19:29||教育部|教育部||天津大学是教育部直属国家重点大学，其前身为北洋大学，始建于1895年10月2日，是中国第一所现代大学，素以“实事求是”的校训、“严谨治学”的校风和“爱国奉献”的传统享誉海内外。
2018-12-08 17:23:21|1055500|南华大学|综合类||公办|教育||1958||衡阳市|湖南省衡阳市蒸湘区常胜西路28号|421001|0734-8282553,0734-8282711||||||||2019-03-28 12:19:29||湖南省教育厅|湖南省教育厅||南华大学是国家工业和信息化部、国防科技工业局、中国核工业集团公司、中国核工业建设集团公司与湖南省人民政府共建的综合性大学。学校由中南工学院与衡阳医学院合并组建，核工业
2018-12-08 17:23:21|1056100|华南理工大学|理工类||公办|教育||1952||广州市|广东省广州市天河区五山路381号|510640|020-87110737,020-87111502||||||||2019-03-28 12:19:29||教育部|教育部||华南理工大学是直属教育部的全国重点大学，坐落在南方名城广州，占地面积约391万平方米。校园分为三个校区，五山校区位于广州市天河区石牌高校区，校园内湖光山色、绿树繁花，民族
2018-12-08 17:23:21|1048700|华中科技大学|理工类||公办|教育||2000||武汉市|湖北省武汉市洪山区珞喻路1037号；湖北省武汉市汉口航空路13号|430074|027-87557014,027-87542228||||||||2019-03-28 12:19:29||教育部|教育部||华中科技大学是国家教育部直属重点综合性大学，由原华中理工大学、同济医科大学、武汉城市建设学院于2000年5月26日合并成立，是国家“211工程”重点建设和“985工程”建设高校之一，是
2018-12-08 17:23:21|1000200|中国人民大学|综合类||公办|教育||1937||北京市|北京市海淀区中关村大街59号|100872|400-012-3517||||||||2019-03-28 00:00:16||教育部|教育部||中国人民大学(RenminUniversityofChina)是中国共产党创办的第一所新型正规大学，是一所以人文社会科学为主的综合性研究型全国重点大学，直属于教育部，由教育部与北京市共建。学校的前身是
2018-12-08 17:23:21|1028600|东南大学|综合类||公办|教育||1902||南京市|江苏省南京市玄武区四牌楼2号|211189|400-691-0286,025-52090273||||||||2019-03-28 12:19:29||教育部|教育部||东南大学是中央直管、教育部直属的全国重点大学，是“985工程”和“211工程”重点建设的大学之一，2017年进入一流大学建设高校A类名单。学校坐落于历史文化名城南京，占地面积5888亩，
2018-12-08 17:23:21|1053200|湖南大学|综合类||公办|教育||1903||长沙市|湖南省长沙市岳麓山|410082|0731-88823560,0731-88823067||||||||2019-03-28 12:19:29||教育部|教育部||湖南大学位于中国历史文化名城长沙，校区坐落在湘江之滨、岳麓山下，享有“千年学府，百年名校”之誉。学校办学历史悠久、教育传统优良，是教育部直属全国重点大学、国家“211工程
2018-12-08 17:23:21|1001300|北京邮电大学|理工类||公办|教育||1955||北京市|北京市西土城路10号|100876|010-62282045,010-62283407||||||||2019-03-28 12:19:29||教育部|教育部||六十余载风雨砥砺，六十余载春华秋实。明光之北、蓟门之南，古老的城墙，见证了永不消逝的电波;鸿雁翱翔、银杏巍巍，坚实的土地，承载了信息黄埔的传奇。北京邮电大学是教育部直属
2018-12-08 17:23:21|1069800|西安交通大学|综合类||公办|教育||0000||西安市|西安市咸宁西路28号|710049|029-82668320||||||||2019-03-28 12:19:29||教育部|教育部||西安交通大学是国家教育部直属重点大学，为我国最早兴办的高等学府之一。其前身是1896年创建于上海的南洋公学，1921年改称交通大学，1956年国务院决定交通大学内迁西安，为交通大学西
2018-12-08 17:23:21|1024700|同济大学|理工类||公办|教育||1907||上海市|上海市四平路1239号|200092|021-65982643,021-65981513||||||||2019-03-28 12:19:29||教育部|教育部||同济大学历史悠久、声誉卓著，是中国最早的国立大学之一，是教育部直属并与上海市共建的全国重点大学。经过110年的发展，同济大学已经成为一所特色鲜明、在海内外有较大影响力的综
2018-12-08 17:23:21|1014100|大连理工大学|理工类||公办|教育||1949||大连市|辽宁省大连市甘井子区凌工路2号|116024|0411-84708375||||||||2019-03-28 12:19:29||教育部|教育部||大连理工大学是中国共产党在新中国成立前夕，面向中国工业体系建设亲手创办的第一所新型正规大学。大连理工大学是教育部直属全国重点大学，也是国家“211工程”和“985工程”重点建
2018-12-08 17:23:21|1028000|上海大学|综合类||公办|教育||1922||上海市|宝山校区地址为上海市宝山区上大路 99 号；延长校区地址为上海市静安区延长路149号|200436|021-66134148||||||||2019-03-28 12:19:29||上海市教育委员会|上海市教育委员会||上海大学是上海市属、国家“211工程”重点建设的综合性大学，是教育部与上海市人民政府共建高校、国防科技工业局与上海市人民政府共建高校，上海市首批高水平地方高校建设试点，教
2018-12-08 17:23:22|1058900|海南大学|综合类||公办|教育||2007||海口市|海南省海口市美兰区人民大道58号|570228|0898-66266469,0898-66260171||||||||2019-03-28 12:19:29||海南省人民政府		|海南省人民政府		||海南大学是于2007年8月由原华南热带农业大学与原海南大学合并组建而成的海南省属综合性重点大学，是海南省人民政府与教育部、财政部共建高校。2008年12月，经国家批准成为“211工程”
2018-12-08 17:23:22|1042900|青岛理工大学|理工类||公办|教育||1952||青岛市|青岛市市北区抚顺路11号|266033|0532-85071039||||||||2019-03-28 12:19:29||山东省教育厅|山东省教育厅||青岛理工大学是一所以工为主，理工结合，土木建筑、机械制造、环境能源学科特色鲜明，理、工、经、管、文、法、艺多学科协调发展，科学教育与人文教育相结合的多科性大学。学校是
2018-12-08 17:23:21|1005500|南开大学|综合类||公办|教育||1919||天津市|天津市南开区卫津路94号|300071|022-23504845||||||||2019-03-28 12:19:29||教育部|教育部||南开大学是国家教育部直属重点综合性大学，是敬爱的周恩来总理的母校。南开大学由严修、张伯苓秉承教育救国理念创办，肇始于1904年，成立于1919年。1937年校园遭侵华日军炸毁，学校南
2018-12-08 17:23:21|1065100|西南财经大学|财经类||公办|教育||1925||成都市|四川省成都市光华村街55号|611130|028-87092355,028-87092897,028-87092898,028-8709291||||||||2019-03-28 00:00:16||教育部|教育部||西南财经大学是教育部直属的国家“211工程”和“985工程”优势学科创新平台建设的全国重点大学，也是国家“双一流”建设高校。学校地处国家历史文化名城、南方丝绸之路的起点、素有
2018-12-08 17:23:21|1042300|中国海洋大学|综合类||公办|教育||1924||青岛市|山东省青岛市崂山区松岭路238号|266100|0532-66782426,0532-66782478,0532-66781723||||||||2019-03-28 12:19:29||教育部|教育部||中国海洋大学是一所海洋和水产学科特色显著、学科门类齐全的教育部直属重点综合性大学，是国家“985工程”和“211工程”重点建设的高校，2017年9月入选国家“世界一流大学建设高校”(A
2018-12-08 17:23:21|1029500|江南大学|综合类||公办|教育||1902||无锡市|江苏省无锡市蠡湖大道1800号|214122|0510-85915666||||||||2019-03-28 12:19:29||教育部|教育部||江南大学是教育部直属、国家“211工程”重点建设高校和一流学科建设高校。学校具有悠久的办学历史、厚重的文化积淀，源起1902年创建的三江师范学堂，历经国立中央大学、南京大学等发
2018-12-08 17:23:21|1000700|北京理工大学|理工类||公办|教育||1940||北京市|北京市海淀区中关村南大街5号|100081|010-68913345,010-68949926||||||||2019-03-28 12:19:29||工业和信息化部|工业和信息化部||北京理工大学创立于1940年，前身是延安自然科学院，是中国共产党创办的第一所理工科大学，毛泽东同志亲自题写校名，李富春、徐特立、李强等老一辈无产阶级革命家先后担任学校主要领
2018-12-08 17:23:21|1002700|北京师范大学|师范类||公办|教育||1902||北京市|北太平庄校区北京市新街口外大街19号|100875|010-58807962||||||||2019-03-28 12:19:29||教育部|教育部||北京师范大学是教育部直属重点大学，是一所以教师教育、教育科学和文理基础学科为主要特色的著名学府。学校的前身是1902年创立的京师大学堂师范馆，1908年改称京师优级师范学堂，独
2018-12-08 17:23:21|1061600|成都理工大学|理工类||公办|教育||1956||成都市|四川省成都市成华区二仙桥东三路1号|610059|028-84078927||||||||2019-03-28 12:19:29||四川省教育厅|四川省教育厅||成都理工大学创办于1956年3月15日，由国务院批准建立，3月27日，高等教育部和地质部联合发文，以重庆大学地质系、西北大学和南京大学地质系的工科部分为基础，同时抽调北京地质学院、
2018-12-08 17:23:21|1049700|武汉理工大学|理工类||公办|教育||0000||武汉市|湖北省武汉市洪山区珞狮路122号；武汉市武昌区和平大道1040号|430070|027-87859017,027-87858399||||||||2019-03-28 12:19:29||教育部|教育部||武汉理工大学是首批列入国家“211工程”重点建设的教育部直属全国重点大学，首批列入国家“双一流计划”建设高校，教育部和交通运输部、国家国防科技工业局共建高校。70年来，学校
2018-12-08 17:23:21|1014500|东北大学|理工类||公办|教育||1923||沈阳市|辽宁省沈阳市和平区文化路三巷11号|110819|024-83687392,024-23891272||||||||2019-03-28 12:19:29||教育部|教育部||东北大学始建于1923年4月26日，是一所具有爱国主义光荣传统的大学。1928年8月至1937年1月，著名爱国将领张学良将军兼任校长。1949年3月，在东北大学工学院和理学院(部分)的基础上成立沈阳
2018-12-08 17:23:21|1042700|济南大学|综合类||公办|教育||1948||济南市|主校区：山东省济南市南辛庄西路336号；舜耕校区：济南市舜耕路13号|250022|0531-82765900,0531-82765901||||||||2019-03-28 12:19:29||山东省|山东省||济南大学是山东省人民政府和教育部共建的综合性大学、山东省重点建设大学，具有学士、硕士、博士学位授予权。学校始建于1948年，建校70年来，学校铭记“弘毅、博学、求真、至善”的
2018-12-08 17:23:21|1040300|南昌大学|综合类||公办|教育||1921||南昌市|江西省南昌市红谷滩新区学府大道999号|330047|0791-88305092,0791-88304443||||||||2019-03-28 12:19:29||省部共建|省部共建||南昌大学是国家“双一流”计划世界一流学科建设高校，是江西省唯一的国家“211工程”重点建设高校，是教育部与江西省部省合建高校，是江西省高水平大学整体建设高校。学校地处“英
2018-12-08 17:23:21|1067400|昆明理工大学|理工类||公办|教育||1954||昆明市|昆明市一二一大街文昌路68号|650093|0871-5194108,0871-65192860||||||||2019-03-28 00:00:16||云南省教育厅|云南省教育厅||昆明理工大学创建于1954年，时名为昆明工学院，1995年更名为昆明理工大学，1999年原昆明理工大学与原云南工业大学合并组建新的昆明理工大学。经过60多年的发展，现已发展成为一所以工
2018-12-08 17:23:21|1021300|哈尔滨工业大学|理工类||公办|教育||1920||哈尔滨市|黑龙江省哈尔滨市南岗区西大直街92号|150001|0451-86414671,0451-86414771||||||||2019-03-28 12:19:29||工业和信息化部|工业和信息化部||哈尔滨工业大学(简称哈工大)，隶属于工业和信息化部，拥有哈尔滨、威海、深圳三个校区，是一所以理工为主，理、工、管、文、经、法、艺等多学科协调发展的国家重点大学。学校始建
