北京东方国信科技股份有限公司|管连平|010-84866666|investor@bonc.com.cn|www.bonc.com.cn|北京市朝阳区创达三路1号院1号楼7层101|105668.009万|1997-07-28|在业|110105002496292|91110000633027609B|633027609|91110000633027609B|股份有限公司(上市、自然人投资或控股)|2008-06-30至无固定期限|软件和信息技术服务业||2018-11-20|104996.948万|1000-4999人|1977|朝阳分局||Business-intelligence of Oriental Nations Corporation Ltd.|北京市朝阳区创达三路1号院1号楼7层101附近公司|计算机软硬件、机电一体化产品、计算机系统集成的技术开发、技术咨询、技术服务、技术培训、技术转让；销售自行开发后产品、计算机、软件及辅助设备、电子产品、通讯设备、仪器仪表；租赁计算机软硬件；企业策划；信息咨询（中介除外）；市场调查；设计、制作、代理、发布广告；货物进出口、技术进出口、代理进出口；出租办公用房；物业管理；计算机系统服务；合同能源管理；互联网信息服务（不含新闻、出版、教育、医疗保健、药品和医疗器械、电子公告服务）。（企业依法自主选择经营项目，开展经营活动；互联网信息服务以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）|北京东方国信科技股份有限公司（以下简称&quot;东方国信公司&quot;）成立于1997年，是信息产业部认定的软件企业和北京市中关村高新技术企业，并通过了ISO9001:2000质量管理体系认证。东方国信公司长期致力于中国国内电信领域的BI（商业智能）、CRM（客户关系管理）、CTI等软件开发、服务与解决方案，拥有多项软件产品专利，是中国联通和中国电信的业务支撑系统的核心合作厂商之一，也是中国铁通业务支撑的三家核心厂商之一。同时，公司在软件外包和业务流程外包方面取得飞速发展，分别在大连和重庆建立软件服务外包基地。2011年01月25日，北京东方国信科技股份有限公司（股票代码：300166，公司简称：东方国信）1月14日发行的1017.6万股A股股票，今日在深圳证券交易所挂牌。
赤峰天行健粮油商贸有限责任公司|刘琨|8285376|||内蒙古自治区赤峰市红山物流园区7号楼01031（粮油市场内）|300万|2012-02-14|注销|150401000003370||||其他有限责任公司(1190)|2012-02-14至无固定期限|批发业||2016-05-05|300万|||赤峰市工商行政管理局红山区分局|||内蒙古自治区赤峰市红山物流园区7号楼01031（粮油市场内）附近公司|许可经营项目：预包装食品、散装食品（不含自身加工生产的食品）批发兼零售（食品流通许可证有效期至2014年12月27日）。 一般经营项目：市场管理服务；农地膜、化肥、农副产品（不含许可项目）销售|
赤峰瑞达物流有限责任公司|周涛||||内蒙古自治区赤峰市红山物流园区９Ａ幢|30万|2010-12-06|吊销|150401000000777||||有限责任公司（非自然人投资或控股的法人独资）(1153)|2010-12-06至2030-12-05|道路运输业||2011-03-23||||赤峰市工商行政管理局经济开发区分局|||内蒙古自治区赤峰市红山物流园区９Ａ幢附近公司|普通货运、仓储、保管、配载、装卸、理货（道路运输经营许可证有效期至２０１４年１２月２日）|
赤峰市红山区馨盛雅服饰行|周宏||||内蒙古自治区赤峰市红山区植物园北十字路口南||2008-04-16|吊销|150401600001829||||个体户||零售业||2008-04-16||||赤峰市工商行政管理局经济开发区分局|||内蒙古自治区赤峰市红山区植物园北十字路口南附近公司|服装加工销售。 (依法须经批准的项目，经相关部门批准后方可开展经营活动)|
赤峰大辽文化产权交易所有限公司|于忠孝||||内蒙古自治区赤峰市红山物流园区管委会办公楼三楼东侧第二间|200万人民币|2011-11-09|注销|150401000002117||||有限责任公司(法人独资,私营)|2011-11-09至2061-11-08|批发业||2013-01-17||||赤峰市工商行政管理局经济开发区分局|||内蒙古自治区赤峰市红山物流园区管委会办公楼三楼东侧第二间附近公司|文化企业股权、著作权、版权、文化艺术品所有权、收益权及分拆权益、债权交易服务；在法律、法规、政策允许范围内组织珠宝玉石、字画、紫砂、瓷器、古玩文化艺术品交易。 (依法须经批准的项目，经相关部门批准后方可开展经营活动)|
内蒙古首领羊绒科技有限公司|焦建军|13684762605|13684762605@126.com||赤峰市红山区红山经济开发区1幢（昭乌达羊绒制品院内）|2000万|2014-05-30|注销|150401000007902||||有限责任公司(自然人投资或控股)(1130)|2014-05-30至无固定期限|批发业||2016-03-25||||赤峰市工商行政管理局红山区分局|||赤峰市红山区红山经济开发区1幢（昭乌达羊绒制品院内）附近公司|许可经营项目：无 一般经营项目：羊绒新技术研发、推广、应用；投资管理；产品展览、展示；羊绒制品、针纺织品、农畜产品销售|
赤峰创响数字科技传媒有限责任公司|王舒皓|13704760259|||内蒙古自治区赤峰市新城区玉龙大街巴林石大厦8020室|100万|2012-07-12|注销|150401000004137||||有限责任公司(自然人独资)(1151)|2012-07-12至2042-07-11|商务服务业||2016-07-13|10万|||赤峰市松山区市场监督管理局|赤峰龙森商贸有限责任公司||内蒙古自治区赤峰市新城区玉龙大街巴林石大厦8020室附近公司|许可经营项目：无 一般经营项目：城市园林绿化、技术开发、技术咨询、技术服务、技术转让、技术推广；承办展览展示活动、经济贸易咨询、影视策划、电脑动画设计、组织文化艺术交流活动；广告设计、制作、代理、发布、推广；计算机技术服务、产品设计、模型设计、包装装潢设计、企业策划、工艺美术设计、教育咨询、礼仪服务、会议服务、翻译服务、文化咨询、电脑打字录入、校对、电脑喷绘、晒图服务、标志牌设计、奖杯奖牌锦旗设计；家用电器、电子产品、通讯设备、服装、百货销售|
赤峰大龙大宗商品交易所有限公司|马景林||||内蒙古自治区赤峰市红山物流园区管委会办公楼三楼东侧第三间|200万人民币|2011-11-09|注销|150401000002125||||有限责任公司(法人独资,私营)|2011-11-09至2061-11-08|批发业||2013-01-17||||赤峰市工商行政管理局经济开发区分局|||内蒙古自治区赤峰市红山物流园区管委会办公楼三楼东侧第三间附近公司|农畜产品（不含许可项目）、矿产品、化工产品（不含危险化学品及一类易制毒化学品）大宗商品现货批发、零售交易及咨询服务。 (依法须经批准的项目，经相关部门批准后方可开展经营活动)|
赤峰尊岳汽车销售服务有限公司|车志坚|0476-3995008|||赤峰市红山区桥北镇姚家洼居委会红山物流园区1号楼01011（坤驰汽车公司院内）|200万|2014-01-03|注销|150401000006612||||有限责任公司(自然人独资)(1151)|2014-01-03至无固定期限|零售业||2015-12-29|200万|||赤峰市工商行政管理局红山区分局|||赤峰市红山区桥北镇姚家洼居委会红山物流园区1号楼01011（坤驰汽车公司院内）附近公司|许可经营项目：无 一般经营项目：汽车（不含品牌汽车）、汽车配件、汽车装饰用品、百货销售|
内蒙古升泽龙钨钼制品有限公司|王福升||||内蒙古自治区赤峰市红山经济开发区维信路东|3000万|2010-09-06|吊销|150401000000494||||有限责任公司(自然人投资或控股)(1130)|2010-09-06至2010-12-06|有色金属冶炼和压延加工业||2010-09-06||||赤峰市工商行政管理局经济开发区分局|||内蒙古自治区赤峰市红山经济开发区维信路东附近公司|钼系列产品销售|
赤峰和昇汽车贸易有限责任公司|夏常龙|18604766679|||赤峰市红山区桥北镇姚家洼居委会红山物流园区公交枢纽站1号楼03013|50万|2014-01-23|注销|150401000006782||||有限责任公司(自然人投资或控股)(1130)|2014-01-23至2044-01-22|零售业||2015-10-14|50万|||赤峰市工商行政管理局红山区分局|||赤峰市红山区桥北镇姚家洼居委会红山物流园区公交枢纽站1号楼03013附近公司|许可经营项目：无 一般经营项目：汽车（不含品牌汽车）、工程机械、农机及配件销售；五金机电、建材销售；二手车交易|
红山区军诚家电经营部|赵金花||||内蒙古自治区赤峰市万商大院|600000万|2010-03-05|吊销|150402600264983||||个体户|2010-03-05至2011-12-31|零售业||2012-02-27||||赤峰市工商行政管理局红山区分局|||内蒙古自治区赤峰市万商大院附近公司|许可经营项目：一般经营项目：家用电器销售、废旧家电回收 (依法须经批准的项目，经相关部门批准后方可开展经营活动)|
红山区玉翔电玩城|李玉全||||内蒙古自治区赤峰市红山区长青街妇幼保健所对过||2012-02-20|吊销|150402600011159||||个体工商户||娱乐业||2012-02-20||||赤峰市工商行政管理局红山区分局|||内蒙古自治区赤峰市红山区长青街妇幼保健所对过附近公司|许可经营项目：电子游艺服务（有效期截止2015年12月14日）。 一般经营项目：无|
内蒙古金泽能源建设集团有限公司|周计亮|0476-8205285|||内蒙古自治区赤峰市红山区哈达街东段路北（四中对过）|10000万|1992-04-06|存续|150400000013316|911504027830127607|783012760|911504027830127607|有限责任公司（非自然人投资或控股的法人独资）(1153)|1992-04-06至2025-12-27|商务服务业||2018-10-26|10000万|100-499人|128|赤峰市工商行政管理局红山区分局|赤峰金泽电力投资有限责任公司|Chifeng Jinze Power Investment Co.,Ltd.|内蒙古自治区赤峰市红山区哈达街东段路北（四中对过）附近公司|许可经营项目：无 一般经营项目：电力工程施工；电力销售；电力输变电设施实验、检修、维护；电力信息工程服务；电力技术开发、咨询、服务；新能源技术开发、咨询、服务；镀锌金属构件、变压器、高低压电器设备销售；五金工具、建材、电线、电缆销售；房屋、场地租赁；电力技术研发、实验；汽车租赁；水泥制品生产、销售；物业管理；餐饮服务。|
内蒙古泰领医疗控股有限公司|连新盛|0476-8233000|||内蒙古自治区赤峰市红山区经济开发区1号|1000万|2016-06-22|存续|150402000080337|91150402MA0MY6LD98|MA0MY6LD9|91150402MA0MY6LD98|其他有限责任公司(1190)|2016-06-22至无固定期限|商务服务业||2017-08-21|160万|||赤峰市工商行政管理局红山区分局|||内蒙古自治区赤峰市红山区经济开发区1号附近公司|许可经营项目：无 一般经营项目：对医疗项目投资服务；生物技术推广服务；生物医药技术研发、生产、销售；蒙中医药技术研发、生产、销售|
赤峰市利丰汽车行有限公司|王刚|0476-8772550|||内蒙古自治区赤峰市红山区桥北镇桥北大街１８８号|4800万|2002-11-26|存续|150400000000570|911504027438695084|743869508|911504027438695084|其他有限责任公司(1190)|2002-11-26至无固定期限|批发业||2017-11-28|4800万|||赤峰市工商行政管理局红山区分局||Chifeng Lifengqi Vehicle Trading Firm Co.,Ltd.|内蒙古自治区赤峰市红山区桥北镇桥北大街１８８号附近公司|许可经营项目：无 一般经营项目：汽车、天津一汽汽车、长安铃木汽车、上汽通用五菱汽车、长城汽车、进口和国产别克牌汽车、哈飞、松花江品牌汽车、长安牌汽车、奇瑞品牌汽车、佳宝品牌汽车、瑞麒品牌汽车（该品牌汽车由分支机构经营）、工程机械、农用机械、汽车配件、汽车装具、润滑油、五金机电、建材、化工（危险品除外）、金属材料、日用百货销售；汽车租赁；汽车修理；维修救援；普通货运；汽车售前售后服务；二手车经销；二手车中介服务；二手车鉴定评估；市场管理服务；信息咨询服务。（在许可证有效期内经营）；房屋租赁、场地租赁|赤峰市利丰汽车行有限公司成立于2002年11月26日，主要经营范围为汽车、天津一汽汽车、长安铃木汽车、上汽通用五菱汽车、长城汽车、进口和国产别克牌汽车、哈飞、松花江品牌汽车、长安牌汽车、奇瑞品牌汽车、佳宝品牌汽车、瑞麒品牌汽车（该品牌汽车由分支机构经营）、工程机械、农用机械、汽车配件、汽车装具、润滑油、五金机电、建材、化工（危险品除外）、金属材料、日用百货销售等。
赤峰二宝国玉和田玉专卖店|任振世||||内蒙古自治区赤峰市红城新世界外厅||2011-11-10|吊销|150402600356769||||个体户||零售业||2012-02-16||||赤峰市工商行政管理局红山区分局|||内蒙古自治区赤峰市红城新世界外厅附近公司|玉器、工艺品、日用品、化妆品零售及咨询服务。 (依法须经批准的项目，经相关部门批准后方可开展经营活动)|
红山区百安居塑钢门窗厂|贾艳伟||||内蒙古自治区赤峰市红山区东郊八队||2010-03-25|吊销|150402600268179||||个体户||金属制品业||2010-03-25||||赤峰市工商行政管理局红山区分局|||内蒙古自治区赤峰市红山区东郊八队附近公司|许可经营项目：一般经营项目：塑钢门窗销售 (依法须经批准的项目，经相关部门批准后方可开展经营活动)|
红山区牧牛人雕刻服务部|高井奎||||内蒙古自治区赤峰市站前西街||2011-04-22|吊销|150402600326733||||个体户||批发业||2011-04-22||||赤峰市工商行政管理局红山区分局|||内蒙古自治区赤峰市站前西街附近公司|许可经营项目：无 一般经营项目：雕刻服务、牌匾制作。 (依法须经批准的项目，经相关部门批准后方可开展经营活动)|
红山区好运长来美食城|刘志军||||内蒙古自治区赤峰市红山区火花路路西自来水公司北侧|10万人民币|2008-06-16|吊销|150402600153158||||个体工商户|2008-06-16至2099-12-31|餐饮业||2012-06-18||||赤峰市工商行政管理局红山区分局|||内蒙古自治区赤峰市红山区火花路路西自来水公司北侧附近公司|许可经营项目：中型餐馆：含凉菜、不含裱花蛋糕、生食海产品（有效期截止2015年5月17日）。 一般经营项目：无|
红山区独门烤鱼店|王志全||||内蒙古自治区赤峰市红山区六西街||2010-08-06|吊销|150402600296546||||个体户||餐饮业||2010-08-06||||赤峰市工商行政管理局红山区分局|||内蒙古自治区赤峰市红山区六西街附近公司|许可经营项目：不含凉菜、裱花蛋糕、生食海产品（餐饮服务许可证有效期截止2013年5月30日）一般经营项目： (依法须经批准的项目，经相关部门批准后方可开展经营活动)|
红山区神彩飞扬动漫城|刘必财||||内蒙古自治区赤峰市王朝宾馆楼下||2011-06-02|吊销|150402600335888||||个体户||娱乐业||2011-06-02||||赤峰市工商行政管理局红山区分局|||内蒙古自治区赤峰市王朝宾馆楼下附近公司|许可经营项目：打机、模拟机（在许可期限内经营）一般经营项目： (依法须经批准的项目，经相关部门批准后方可开展经营活动)|
赤峰市红山区百洋超市|武文卿||||内蒙古自治区赤峰市红山区园林路实验中学对过|10万人民币|2008-12-04|吊销|150402600196355||||个体户|2008-12-04至2099-12-31|零售业||2008-12-04||||赤峰市工商行政管理局红山区分局|||内蒙古自治区赤峰市红山区园林路实验中学对过附近公司|许可经营项目：预包装食品、散装食品、乳制品（含婴幼儿配方乳粉）（食品流通许可证有效期至2013年4月26日）。 一般经营项目：烟、五金交电、百货、工艺美术品、文教用品、通讯器材销售。 (依法须经批准的项目，经相关部门批准后方可开展经营活动)|
红山区精巧理发店|石岩||||内蒙古自治区赤峰市红山区大栅栏北口|8万人民币|2010-01-28|吊销|150402600263247||||个体工商户||居民服务业||2010-01-28||||赤峰市工商行政管理局红山区分局|||内蒙古自治区赤峰市红山区大栅栏北口附近公司|许可经营项目：理发、染发、烫发。（前置审批许可有效期截止2013年1月14日） 一般经营项目：无|
红山区派达皮具店|崔欣彤||||内蒙古自治区赤峰市红城楼下||2010-06-05|吊销|150402600287184||||个体户||零售业||2010-06-05||||赤峰市工商行政管理局红山区分局|||内蒙古自治区赤峰市红城楼下附近公司|许可经营项目：一般经营项目：办公用品、体育用品、皮具批发零售 (依法须经批准的项目，经相关部门批准后方可开展经营活动)|
赤峰市石鸿建筑劳务有限公司|张海||||内蒙古自治区赤峰市红山区桥北大街185号|80000万|2018-11-27|存续||91150402MA0Q38UG0C|MA0Q38UG0|91150402MA0Q38UG0C|有限责任公司(自然人独资)(1151)|2018-11-27至无固定期限|房屋建筑业||2018-11-27||||赤峰市工商行政管理局红山区分局|||内蒙古自治区赤峰市红山区桥北大街185号附近公司|建筑劳务分包；市政工程；园林绿化；土木工程；飞机跑道工程建筑；公路工程；水利水电工程；桥梁建筑工程；钢结构工程；仿古建筑工程；隧道工程；机电安装工程；土石方工程；普通货运；室内外装饰装修工程。|
赤峰景润建筑劳务有限公司|柴井海|15904765488|1656395605@qq.com||内蒙古自治区赤峰市红山区桥北姚家洼居委会桥北大街185号|68000万|2017-09-28|存续|150402000105654|91150402MA0NJUWK0D|MA0NJUWK0|91150402MA0NJUWK0D|有限责任公司(自然人独资)(1151)|2017-09-28至无固定期限|土木工程建筑业||2017-10-30||||赤峰市工商行政管理局红山区分局|||内蒙古自治区赤峰市红山区桥北姚家洼居委会桥北大街185号附近公司|许可经营项目：无 一般经营项目：建筑劳务分包；公路、铁路、护坡、桥梁、大中型桥涵、隧道、电站、港口、机场建设工程施工；土石方工程；消防工程；通信工程；建筑拆除工程（非爆破）；引水排水工程；天然气管道工程；水利水电工程；电力工程施工；仿古建筑工程；园林绿化工程；市政工程施工；钢结构、建筑工程设计施工；化工产品（不含危险品）、有色金属、建筑材料销售；道路普通货物运输|
内蒙古士吉建设工程有限公司|高立波|18648107455|||内蒙古自治区赤峰市红山区站前办事处铁北小区6#楼101|68000万|2018-11-29|存续||91150402MA0Q3BRM9P|MA0Q3BRM9|91150402MA0Q3BRM9P|其他有限责任公司(1190)|2018-11-29至无固定期限|房屋建筑业||2018-11-29||||赤峰市工商行政管理局红山区分局|||内蒙古自治区赤峰市红山区站前办事处铁北小区6#楼101附近公司|建筑工程、土石方工程、市政工程、钢结构工程、装饰装潢工程、水利水电工程、管道安装工程、道路工程、园林古建筑工程、污水处理工程、桥梁工程、隧道工程施工、建筑劳务作业分包。|
红山区开门红婚庆礼仪服务部|徐洪梅|18648316325|1250309218@qq.com||内蒙古自治区赤峰市红山区永巨办事处东南关小区二组团||2010-06-01|吊销|150402600284199||||个体户||居民服务业||2010-06-01|100万|||赤峰市工商行政管理局红山区分局|||内蒙古自治区赤峰市红山区永巨办事处东南关小区二组团附近公司|许可经营项目：无。一般经营项目：婚庆礼仪、开业庆典服务。 (依法须经批准的项目，经相关部门批准后方可开展经营活动)|
赤峰市红山区保宁旅店|林水||||内蒙古自治区赤峰市园林路竹园办公楼二层|6万人民币|2004-02-18|注销|150402600074584||||个体工商户|2004-02-18至2099-12-31|住宿业||2017-09-14||||赤峰市工商行政管理局红山区分局|||内蒙古自治区赤峰市园林路竹园办公楼二层附近公司|许可经营项目：旅客住宿服务。（在许可期限内经营）。 一般经营项目：小百货销售|
内蒙古日林建筑劳务有限公司|穆亚娟|15304156395|||内蒙古自治区赤峰市红山区西屯办事处百合花园12幢2012号|58888万|2015-12-14|存续|150402000069930|91150402MA0MWHQC15|MA0MWHQC1|91150402MA0MWHQC15|有限责任公司(自然人独资)(1151)|2015-12-14至无固定期限|房屋建筑业||2018-05-24||||赤峰市工商行政管理局红山区分局|内蒙古日鑫建筑工程有限公司||内蒙古自治区赤峰市红山区西屯办事处百合花园12幢2012号附近公司|建筑劳务分包；土石方工程施工；建筑工程施工；普通货物道路运输；园林绿化；钢结构工程。|
赤峰市元宝山区瑞野食用菌专业合作社|韩进才|15326836668|||内蒙古自治区赤峰市元宝山区大三家村委会院内|400万|2010-05-19|注销|150403NA000083X|93150403082184455E|082184455|93150403082184455E|农民专业合作社(9100)||农业||2017-06-20||||赤峰市元宝山区市场监督管理局|||内蒙古自治区赤峰市元宝山区大三家村委会院内附近公司|食用菌培育、加工销售；组织采购、供应成员间所需的生产资料、开展技术培训和技术指导、咨询服务|
赤峰元宝山区良聚养殖专业合作社|魏金菊||||内蒙古自治区赤峰市元宝山区美丽河镇公格营子村砖厂南一队|100万|2017-11-24|存续|150403020118107|93150403MA0NMKENXG|MA0NMKENX|93150403MA0NMKENXG|农民专业合作社(9100)||畜牧业||2018-04-28||||赤峰市元宝山区市场监督管理局|||内蒙古自治区赤峰市元宝山区美丽河镇公格营子村砖厂南一队附近公司|家畜、家禽养殖销售。|
内蒙古平庄煤业（集团）有限责任公司|徐晓惠|0476-3324512|pmqgb@126.com|www.pzcig.com|内蒙古自治区赤峰市元宝山区平庄镇哈河街中段|235419.265万|2000-07-10|存续|150000000004505|91150403114863701Q|114863701|91150403114863701Q|其他有限责任公司(1190)|2000-07-10至2040-12-31|煤炭开采和洗选业||2018-01-24|235419.265万|10000人以上|16063|赤峰市元宝山区市场监督管理局||INNER MONGOLIA PINGZHUANG COAL GROUP LTD|内蒙古自治区赤峰市元宝山区平庄镇哈河街中段附近公司|法律、法规禁止的不得经营，应经审批的未获审批前不得经营，法律、法规未规定审批的企业自主选择经营项目，开展经营活动|
赤峰西拉沐沦（集团）公格营子煤业有限公司|张海军|2233680|||赤峰市元宝山区美丽河镇公格营子村|5660万|2005-11-03|存续|150403000007224|911504037794883523|779488352|911504037794883523|有限责任公司(自然人投资或控股)(1130)|2005-11-03至2019-12-12|煤炭开采和洗选业||2018-12-29|5059万|100-499人|341|赤峰市元宝山区市场监督管理局|||赤峰市元宝山区美丽河镇公格营子村附近公司|煤炭生产、销售。|
赤峰东元电力发展有限责任公司|刘子国|0476-3595383|||内蒙古自治区赤峰市元宝山区云杉路|3409万|2001-01-04|存续|150400000011781|911504037201830524|720183052|911504037201830524|其他有限责任公司(1190)|2001-01-04至2028-12-31|商务服务业||2018-11-08||50-99人|62|赤峰市元宝山区市场监督管理局|||内蒙古自治区赤峰市元宝山区云杉路附近公司|法律、法规禁止的不得经营，应经审批的未经审批前不得经营，法律、法规未规定审批的企业自主选择经营项目，开展经营活动|赤峰东元电力发展有限责任公司成立于2001年01月04日，主要经营范围为法律、法规禁止的不得经营，应经审批的未经审批前不得经营，法律、法规未规定审批的企业自主选择经营项目，开展经营活动等。
赤峰晋兆文化旅游发展有限公司|潘爱民||||内蒙古自治区赤峰市元宝山区平庄商城7幢A6号|70000万|2019-04-09|存续||91150403MA0Q72TC7A|MA0Q72TC7|91150403MA0Q72TC7A|有限责任公司(自然人投资或控股)(1130)|2019-04-09至无固定期限|商务服务业||2019-04-09||||赤峰市元宝山区市场监督管理局|||内蒙古自治区赤峰市元宝山区平庄商城7幢A6号附近公司|文化旅游项目开发建设；组织文化艺术交流活动（不含演出）；旅游信息咨询；企业管理咨询；经济贸易咨询；会议及展览服务；国内旅游业务；入境旅游业务（凭许可证并在有效期内经营）。|
