2019-03-28|高丽娟与内蒙古伊东煤炭集团有限责任公司买卖合同纠纷再审审查与审判监督民事裁定书|买卖合同纠纷|被申请人-内蒙古伊东煤炭集团有限责任公司|（2017）内民申1019号|https://www.tianyancha.com/lawsuit/1379e11d50004a53aac98dcaf184d2e5
2018-03-29|中国进出口银行与丰汇租赁有限公司等合同纠纷一审民事判决书|合同纠纷|被告-内蒙古伊东煤炭集团有限责任公司,内蒙古伊东资源集团股份有限公司,丰汇租赁有限公司|（2017）京02民初265号|https://www.tianyancha.com/lawsuit/7118b65fa43511e8a8b47cd30ae00894
2017-12-19|中铁物总能源有限公司等合同执行裁定书|-|申请执行人-中铁物总能源有限公司被执行人-内蒙古伊东集团煤炭运销有限责任公司,内蒙古伊东煤炭集团有限责任公司|（2017）京01执701号|https://www.tianyancha.com/lawsuit/8a17108a2b6c11e8bc346c92bf3bac55
2017-09-22|内蒙古伊东煤炭集团有限责任公司、内蒙古伊东集团古城煤炭有限责任公司等与中铁物总能源有限公司买卖合同纠纷二审民事判决书|买卖合同纠纷|上诉人-内蒙古伊东集团煤炭运销有限责任公司,内蒙古伊东煤炭集团有限责任公司被上诉人-中铁物总能源有限公司,内蒙古伊东集团古城煤炭有限责任公司|（2017）京民终325号|https://www.tianyancha.com/lawsuit/c3845c02c1ee11e788a5008cfaf8725a
2017-09-18|准格尔旗国土资源局与内蒙古伊东煤炭集团有限责任公司行政处罚非诉执行审查行政裁定书|-|被申请执行人-内蒙古伊东煤炭集团有限责任公司|（2017）内0622行审5号|https://www.tianyancha.com/lawsuit/66019f1c40ea11e8b0207cd30ae00c08
2017-08-02|内蒙古伊东集团孙家壕煤炭有限责任公司与枣庄富恒机电设备有限公司、刘海涛等买卖合同纠纷二审民事裁定书|买卖合同纠纷|上诉人-内蒙古伊东集团孙家壕煤炭有限责任公司被上诉人-枣庄富恒机电设备有限公司,内蒙古伊东煤炭集团有限责任公司|（2016）内06民终1113号|https://www.tianyancha.com/lawsuit/aa3baee83efb11e8b0207cd30ae00c08
2017-08-02|庞志敏与内蒙古伊东煤炭集团有限责任公司、内蒙古伊东煤炭集团有限责任公司大庙渠煤矿买卖合同纠纷二审民事裁定书|买卖合同纠纷|被上诉人-内蒙古伊东煤炭集团有限责任公司|（2016）内06民终795号|https://www.tianyancha.com/lawsuit/343b74223cf711e8b0207cd30ae00c08
2017-07-14|中国民生银行股份有限公司呼和浩特分行与内蒙古普泰房地产开发有限公司、内蒙古普泰路桥有限公司等合同、无因管理、不当得利执行实施类执行裁定书|-|申请执行人-中国民生银行股份有限公司呼和浩特分行被执行人-内蒙古普泰房地产开发有限公司,内蒙古普泰路桥有限公司,内蒙古普泰建设集团有限公司,内蒙古伊东资源集团股份有限公司,内蒙古伊东煤炭集团有限责任公司|（2016）内01执38号|https://www.tianyancha.com/lawsuit/3153037f3a9c11e8b0207cd30ae00c08
2017-05-15|内蒙古生力资源（集团）有限责任公司与内蒙古伊东煤炭集团有限责任公司、华融金融租赁股份有限公司等确认合同无效纠纷二审民事判决书|确认合同无效纠纷|上诉人-内蒙古生力资源（集团）有限责任公司被上诉人-内蒙古伊东煤炭集团有限责任公司,华融金融租赁股份有限公司,内蒙古伊东集团孙家壕煤炭有限责任公司,内蒙古伊东煤炭集团窑沟扶贫煤炭有限责任公司|（2017）最高法民终17号|https://www.tianyancha.com/lawsuit/49538f5b510c45c4abd947fcd862405f
2016-11-28|内蒙古伊东煤炭集团有限责任公司申请执行孟平买卖合同纠纷一案执行裁定书|买卖合同纠纷|申请执行人-内蒙古伊东煤炭集团有限责任公司|（2014）东执字第6543号之二|https://www.tianyancha.com/lawsuit/a3e799118fa44150bba9bf21dbf27b21
2016-10-30|内蒙古生力资源（集团）有限责任公司与内蒙古伊东煤炭集团有限责任公司、华融金融租赁股份有限公司等确认合同无效纠纷一审民事判决书|确认合同无效纠纷|原告-内蒙古生力资源（集团）有限责任公司被告-内蒙古伊东煤炭集团有限责任公司,华融金融租赁股份有限公司,内蒙古伊东集团孙家壕煤炭有限责任公司,内蒙古伊东煤炭集团窑沟扶贫煤炭有限责任公司|（2016）浙民初1号|https://www.tianyancha.com/lawsuit/c62e027b4240413a8fecd612c4564b27
2016-09-26|李强与张贵君、鄂尔多斯市德盛源煤炭有限公司健康权纠纷一案一审执行裁定书|-|被告-内蒙古伊东煤炭集团有限责任公司,鄂尔多斯市德盛源煤炭有限公司,内蒙古伊东集团宏鑫煤炭有限责任公司|（2016）内0821执381号|https://www.tianyancha.com/lawsuit/80eab54d9cb44c26ac291be6a3112e6b
2016-03-11|无锡市现代喷雾干燥设备有限公司与内蒙古伊东煤炭集团有限责任公司买卖合同纠纷案执行裁定书|买卖合同纠纷|申请执行人-无锡市现代喷雾干燥设备有限公司被执行人-内蒙古伊东煤炭集团有限责任公司|（2015）准法执字第1786号|https://www.tianyancha.com/lawsuit/f243f8c20b824fa5887689c89970ab26
2016-03-09|浙江蓝丰能源有限公司与内蒙古伊东煤炭集团有限责任公司、内蒙古伊东煤炭集团有限责任公司大庙渠煤矿等买卖合同纠纷再审复查与审判监督民事裁定书|买卖合同纠纷|再审申请人-内蒙古伊东煤炭集团有限责任公司被申请人-浙江蓝丰能源有限公司,浙江普安能源有限公司,浙江中秦能源有限公司|（2015）浙民申字第2241号|https://www.tianyancha.com/lawsuit/cea6381509774705b6e91fba33144541
2015-12-15|李强与张贵君、伊东公司、德盛源公司、伊东宏鑫公司健康权纠纷一审民事判决书|-|被告-内蒙古伊东煤炭集团有限责任公司,鄂尔多斯市德盛源煤炭有限公司,内蒙古伊东集团宏鑫煤炭有限责任公司|（2015）五民初字第3号|https://www.tianyancha.com/lawsuit/0b423e3d2b764d6db6919d9b161461b3
2015-10-28|内蒙古伊东煤炭集团有限责任公司因与无锡市现代干燥设备有限公司买卖合同纠纷一案二审民事判决书|买卖合同纠纷|上诉人-内蒙古伊东煤炭集团有限责任公司|（2015）鄂商终字第00120号|https://www.tianyancha.com/lawsuit/681eb043d6894b6790e090b864a48e86
2015-10-28|内蒙古伊东煤炭集团有限责任公司因与广东摩德娜科技设备有限公司买卖合同纠纷一案二审民事判决书|买卖合同纠纷|上诉人-内蒙古伊东煤炭集团有限责任公司被上诉人-科技设备有限公司|（2015）鄂商终字第119号|https://www.tianyancha.com/lawsuit/729d57f169fc4eb2bd6da01a4fc762b0
2015-10-28|内蒙古伊东煤炭集团有限责任公司与广东摩德娜科技股份有限公司买卖合同纠纷一案二审民事判决书|买卖合同纠纷|上诉人-内蒙古伊东煤炭集团有限责任公司被上诉人-广东摩德娜科技股份有限公司|（2015）鄂商终字第119号|https://www.tianyancha.com/lawsuit/59f9b775982e40eab85be44edecd5e65
2015-10-28|内蒙古伊东煤炭集团有限责任公司与无锡市现代干燥设备有限公司买卖合同纠纷一案二审民事判决书|买卖合同纠纷|上诉人-内蒙古伊东煤炭集团有限责任公司|（2015）鄂商终字第00120号|https://www.tianyancha.com/lawsuit/6c0c2b811a084c98a4b7654bb37f9915
2015-09-21|浙江蓝丰能源有限公司与浙江普安能源有限公司、内蒙古伊东煤炭集团有限责任公司等执行裁定书|-|申请执行人-浙江蓝丰能源有限公司被执行人-浙江普安能源有限公司,内蒙古伊东煤炭集团有限责任公司,浙江中秦能源有限公司|（2015）杭下执民字第1841-1号|https://www.tianyancha.com/lawsuit/22c43a4363834e678a2cf3a33462feb5
2015-06-30|浙江蓝丰能源有限公司与内蒙古伊东煤炭集团有限责任公司、浙江普安能源有限公司等买卖合同纠纷二审民事判决书|买卖合同纠纷|上诉人-内蒙古伊东煤炭集团有限责任公司被上诉人-浙江蓝丰能源有限公司,浙江普安能源有限公司,浙江中秦能源有限公司|（2015）浙杭商终字第1001号|https://www.tianyancha.com/lawsuit/fea767581cbb11e6b554008cfae40dc0
2015-06-16|无锡市现代喷雾干燥设备有限公司与内蒙古伊东煤炭集团有限责任公司买卖合同纠纷一案一审民事判决书|买卖合同纠纷|原告-无锡市现代喷雾干燥设备有限公司被告-内蒙古伊东煤炭集团有限责任公司|（2015）准商初字第8号|https://www.tianyancha.com/lawsuit/254abbc7aaf140f297e38f123f229ea6
2015-06-08|广东摩德娜科技股份有限公司与内蒙古伊东煤炭集团有限责任公司买卖合同纠纷一案一审民事判决书|买卖合同纠纷|原告-广东摩德娜科技股份有限公司被告-内蒙古伊东煤炭集团有限责任公司|（2015）准商初字第13号|https://www.tianyancha.com/lawsuit/dbe2819e20114a51869777961012db75
2015-06-04|内蒙古伊东集团孙家壕煤炭有限责任公司与枣庄富恒机电设备有限公司买卖合同纠纷一案二审民事裁定书|买卖合同纠纷|上诉人-内蒙古伊东集团孙家壕煤炭有限责任公司被上诉人-枣庄富恒机电设备有限公司,内蒙古伊东煤炭集团有限责任公司|（2015）鄂商终字第45号|https://www.tianyancha.com/lawsuit/5fa46c771cb611e6b554008cfae40dc0
2015-05-25|内蒙古伊东煤炭集团有限责任公司与官章青等民间借贷纠纷二审民事裁定书|民间借贷纠纷|被告-内蒙古伊东煤炭集团有限责任公司|（2015）赣立终字第61号|https://www.tianyancha.com/lawsuit/ac43ff2e1cb811e6b554008cfae40dc0
2015-02-10|浙江蓝丰能源有限公司与浙江普安能源有限公司、内蒙古伊东煤炭集团有限责任公司大庙渠煤矿等买卖合同纠纷一审民事判决书|买卖合同纠纷|原告-浙江蓝丰能源有限公司被告-浙江普安能源有限公司,内蒙古伊东煤炭集团有限责任公司,浙江中秦能源有限公司|（2013）杭下商初字第2226号|https://www.tianyancha.com/lawsuit/29eb703f1cb811e6b554008cfae40dc0
2014-12-03|伊东公司与李强等健康权纠纷二审民事裁定书|-|上诉人-内蒙古伊东煤炭集团有限责任公司被上诉人-鄂尔多斯市德盛源煤炭有限公司|（2014）巴民一终字第456号|https://www.tianyancha.com/lawsuit/f3d4b47e1cb911e6b554008cfae40dc0
2014-11-07|山东金山煤业有限公司与内蒙古伊东煤炭集团有限责任公司、内蒙古伊东煤炭集团有限责任公司大庙渠煤矿等买卖合同纠纷一审民事裁定书|买卖合同纠纷|原告-山东金山煤业有限公司被告-内蒙古伊东煤炭集团有限责任公司|（2012）济高新区商初字第422号|https://www.tianyancha.com/lawsuit/99d48a121cba11e6b554008cfae40dc0
2014-02-12|浙江蓝丰能源有限公司与内蒙古伊东煤炭集团有限责任公司、浙江普安能源有限公司等买卖合同纠纷二审民事裁定书|买卖合同纠纷|上诉人-内蒙古伊东煤炭集团有限责任公司被上诉人-浙江蓝丰能源有限公司,浙江普安能源有限公司,浙江中秦能源有限公司|（2014）浙杭辖终字第94号|https://www.tianyancha.com/lawsuit/4188ab011cb711e6b554008cfae40dc0
-|中国建设银行股份有限公司内蒙古自治区分行营业部与内蒙古西蒙集团有限公司、内蒙古伊东煤炭集团有限责任公司、连广明、贾峰、内蒙古西蒙矿业有限公司借款合同纠纷一审民事判决书|借款合同纠纷|原告-中国建设银行股份有限公司内蒙古自治区分行营业部被告-内蒙古西蒙集团有限公司,内蒙古伊东煤炭集团有限责任公司,内蒙古西蒙矿业有限公司|（2016）内民初9号|https://www.tianyancha.com/lawsuit/223215b386984615ac5a1a564704f979
