2019年中国电子书阅读器市场分析报告-市场现状调查与发展商机研究|-|七、凭借内容优势方正大肆进军电子书终端市场 八、方正电子书阅读器市场的制胜战略 第三节 大唐电信科技股份有限公司 一、企业概况 二、企业主要经济指标分析 三、企业盈利能力分析 四|-|中国报告网|-|20小时23分钟前|-|https://news.tianyancha.com/detail/95f0cb412810449ace5907a403862fbb0ee1ea0b.html
层次高的人，高在这8个品相|-|海信、烟台万华、华为、深圳西部人力、顺丰速运、粤海控股、两江控股、天门山旅游、南湖控股、上海圣为、大唐电信、武大卓越、无极限（中国）、中石油、中海油、中国人保、中国人寿、农行总行、招商银行|-|微信公众号|-|4天前|-|https://news.tianyancha.com/detail/bd15accf2153383d9421956d6a8a7837d1495a2f.html
真正高情商的人，都很会“发脾气”|-|海信、烟台万华、华为、深圳西部人力、顺丰速运、粤海控股、两江控股、天门山旅游、南湖控股、上海圣为、大唐电信、武大卓越、无极限（中国）、中石油、中海油、中国人保、中国人寿、农行总行、招商银行|-|微信公众号|-|4天前|-|https://news.tianyancha.com/detail/4e37d1acd9847b757fbdaa7458f8eddcaae8f014.html
国产当自强，大唐存储推出国产固态硬盘|-|大唐电信集团是国家移动通信3G/4G/5G通信标准的主要贡献者，也是集成电路芯片设计和制造主要厂商，产品已广泛用于运营商、公安、金融、铁路、电力等行业，芯片出货量达数十亿只。 为顺应国家信息安全及集成|-|微信公众号|-|4天前|-|https://news.tianyancha.com/detail/e64bf92d8cae8a100d8ff2f17f34317c95ef89d6.html
乔会君阐释“技术之争”：在不确定的世界中寻求最确定的美好|-|在2G时代，GSM和CDMA1x完全是西方人的天下。 到3G时代，WCDMA，中国当时投入巨资支持大唐电信做TDS-CDMA，我们投入了不低于万亿的资金，但并没有产生很好的效果。 基于这个基础|-|微信公众号|-|5天前|-|https://news.tianyancha.com/detail/cd20c6d65fd5368b0045d4ac45491d82be314eb9.html
通信行业周报2019年第22期:工信部发放5G牌照国内5G建设有望提速-190609|-| 2）奥维通信,控股股东股权结构变化暨实际控制人发生变更的公告。 3）大唐电信,对外投资公告。 4）天邑股份,中选结果公示的提示性公告。 5|-|中国银河证券|-|5天前|-|https://news.tianyancha.com/detail/6025f4eef95e270761297700e39799102a3a652e.html
大唐存储推出国产消费类固态硬盘|-|大唐电信控股子公司大唐存储推出面向消费类市场的国产固态硬盘---- 宜品星系列产品，这是继2018年10月推出面向工业应用市场的国产宜安星系列固态硬盘和面向服务器市场的宜服星系列固态硬盘产品后|-|中国产业信息网|-|5天前|-|https://news.tianyancha.com/detail/378f5c1a899f6aaaf9d0b18cb37925f10738c8dd.html
深度丨灯光已就位，巨头压制下华为鸿蒙胜算几何？|-|海信、烟台万华、华为、深圳西部人力、顺丰速运、粤海控股、两江控股、天门山旅游、南湖控股、上海圣为、大唐电信、武大卓越、无极限（中国）、中石油、中海油、中国人保、中国人寿、农行总行、招商银行|-|微信公众号|-|5天前|-|https://news.tianyancha.com/detail/55080b563c5faa3a2fab33de52f45889006f5e25.html
引领创新、创造力与企业发展|-|海信、烟台万华、华为、深圳西部人力、顺丰速运、粤海控股、两江控股、天门山旅游、南湖控股、上海圣为、大唐电信、武大卓越、无极限（中国）、中石油、中海油、中国人保、中国人寿、农行总行、招商银行|-|微信公众号|-|5天前|-|https://news.tianyancha.com/detail/03292a9022b7169f71db4e96d81567ca66b5518d.html
中国信科5G标准必要专利数量居全球第九|-|去7月，中国信科集团由原武汉邮电科学研究院（烽火科技集团）和原电信科学技术研究院（大唐电信集团）联合重组，在光谷成立。 两大电信业央企强强联合|-|微信公众号|-|5天前|-|https://news.tianyancha.com/detail/c3967a32adcf33745b6aab71851e7ab5c4c54a1d.html
谁是中国最强“自动驾驶之城”？望智库重磅报告来了！|-|成立车路协同联合实验室。随后 在云栖大会上，阿里巴巴 AliOS 又宣布将与英特尔、大唐电信（600198）集团展开智能交通―车路协同领域的战略合作。 （四）深圳:产业两端发力|-|和讯科技|-|5天前|-|https://news.tianyancha.com/detail/f35164c95a8cb38f05e658f2fbf8945b7cb3a18b.html
中国信科5G标准必要专利数全球第九|-|中国信科集团由原武汉邮电科学研究院（烽火科技集团）和原电信科学技术研究院（大唐电信集团）联合重组而成，两大电信业央企强强联合，是国家对通信领域的改革和产业结构调整的重大举措|-|东方网|-|6天前|-|https://news.tianyancha.com/detail/f09ec0d86806472110621c8b80252ca730d5d4af.html
美国版华为是如何一步步作死的？|-|海信、烟台万华、华为、深圳西部人力、顺丰速运、粤海控股、两江控股、天门山旅游、南湖控股、上海圣为、大唐电信、武大卓越、无极限（中国）、中石油、中海油、中国人保、中国人寿、农行总行、招商银行|-|微信公众号|-|6天前|-|https://news.tianyancha.com/detail/11cb27cb8bfefd2a132fd0fd0efb6629cfe47063.html
曾国藩：人生，一旦有这两个习惯，必是要失败的征兆！|-|海信、烟台万华、华为、深圳西部人力、顺丰速运、粤海控股、两江控股、天门山旅游、南湖控股、上海圣为、大唐电信、武大卓越、无极限（中国）、中石油、中海油、中国人保、中国人寿、农行总行、招商银行|-|微信公众号|-|6天前|-|https://news.tianyancha.com/detail/15e7094e53a3981ecd19e85ed09d2584b78560c3.html
华为为何能成为跨国人才本地化最成功的公司？（干货）|-|海信、烟台万华、华为、深圳西部人力、顺丰速运、粤海控股、两江控股、天门山旅游、南湖控股、上海圣为、大唐电信、武大卓越、无极限（中国）、中石油、中海油、中国人保、中国人寿、农行总行、招商银行|-|微信公众号|-|6天前|-|https://news.tianyancha.com/detail/781dfcd0e22a9b9e6153b683dde02e6db66887e1.html
又一美国卡脖子技术被终结：北斗导航即将全球覆盖|-|海信、烟台万华、华为、深圳西部人力、顺丰速运、粤海控股、两江控股、天门山旅游、南湖控股、上海圣为、大唐电信、武大卓越、无极限（中国）、中石油、中海油、中国人保、中国人寿、农行总行、招商银行|-|微信公众号|-|6天前|-|https://news.tianyancha.com/detail/9ffa551551b9afbe40ce8ddd73a58614b648d9e7.html
在汉央企中国信科5G标准必要专利数，位居全球第九|-| 去年6月，中国信科集团由原武汉邮电科学研究院（烽火科技集团）和原电信科学技术研究院（大唐电信集团）联合重组而成，两大电信业央企强强联合，是国家对通信领域的改革和产业结构调整的重大举措|-|长江日报|-|6天前|-|https://news.tianyancha.com/detail/0512d0414345fa77622d41550b09950b02b94638.html
主力资金近三日大量撤出这些概念股|-|润欣科技| -9.10| -13037.7 IPV6| 0.62| -1.62| -12.67| 大唐电信| -2.11| -12945.8 超涨| 3.87| 1.62| -12.45||-|证券时报网|-|6天前|-|https://news.tianyancha.com/detail/1fc0c7f42da8082c87abdb41fb9c993b9fe6ba82.html
34亿主力资金近三日撤出5G概念股|-|润欣科技| -9.10| -11.35| -1.30| -12.81 600198| 大唐电信| -2.11| -4.35| -1.29| -5.12 300025| 华星创业||-|证券时报网|-|6天前|-|https://news.tianyancha.com/detail/71d8bbcbbdca8dd6fa5966839d57032e1afa8322.html
2019年中国电子阅读器行业分析报告-行业运营态势与发展前景预测|-|企业经营状况分析 10.2.5 企业最新发展动态 10.2.6 企业发展战略分析 10.3 大唐电信科技股份有限公司 10.3.1 企业发展基本情况 10.3.2 企业主要产品分析|-|中国报告网|-|6天前|-|https://news.tianyancha.com/detail/b730094f3271b5569c4d30a4da4ed87ce2a3de0c.html
A股大跌推手：龙头券商反手做空股指期货狂赚两个亿|-|百隆东方 长航油运 天龙光电 浪潮信息 雪莱特 GQY视讯 保险行业 蓝丰生化 大族激光 罗牛山 大唐电信 科融环境 太平洋 万兴科技 东方金钰 成飞集成 西安旅游 雏鹰农牧 香梨股份 方正电机|-|微信公众号|-|7天前|-|https://news.tianyancha.com/detail/2620516101a291b3b0810ef9e2656ed673d01d50.html
深度解析：稀土永磁爆炒背后的逻辑！|-| 5月28日热点方面，芯片昨日涨停潮之后，明显分化，但涨停家数依然不少，其中还走出富满电子4连板，大唐电信、晶瑞股份、华虹计通等一众滞涨股补涨2连板；科创板受益消息刺激，早盘爆发涨停潮|-|微信公众号|-|7天前|-|https://news.tianyancha.com/detail/10a61b12a939fc546847b4126f8706ca206a7aa5.html
沃顿商学院院长万字长文解读中美贸易战|-|海信、烟台万华、华为、深圳西部人力、顺丰速运、粤海控股、两江控股、天门山旅游、南湖控股、上海圣为、大唐电信、武大卓越、无极限（中国）、中石油、中海油、中国人保、中国人寿、农行总行、招商银行|-|微信公众号|-|7天前|-|https://news.tianyancha.com/detail/2a6b8cdf01df247be7e4d6323c2a4a959338b1fa.html
戴旭：美国开始第六次战略转移，我国千万要小心|-|海信、烟台万华、华为、深圳西部人力、顺丰速运、粤海控股、两江控股、天门山旅游、南湖控股、上海圣为、大唐电信、武大卓越、无极限（中国）、中石油、中海油、中国人保、中国人寿、农行总行、招商银行|-|微信公众号|-|7天前|-|https://news.tianyancha.com/detail/2ec46cc43502ed968a14fb6764ff63ee6c202685.html
“虚胖”的5G概念股大唐电信：坐享3G红利败走游戏风口|-|图片来源：每经记者 李少婷 摄 6月6日，中国5G牌照下发，概念股随之波动。央企上市公司大唐电信（600198，SH）的投资者在股吧内热烈地讨论着股价的走势。 一个月以来|-|微信公众号|-|7天前|-|https://news.tianyancha.com/detail/7a1902764147203183024d872bb53b9ac758baac.html
比勤奋更能决定人生的，是成长型思维丨荐读|-|海信、烟台万华、华为、深圳西部人力、顺丰速运、粤海控股、两江控股、天门山旅游、南湖控股、上海圣为、大唐电信、武大卓越、无极限（中国）、中石油、中海油、中国人保、中国人寿、农行总行、招商银行|-|微信公众号|-|7天前|-|https://news.tianyancha.com/detail/0ebfd16cc0836612a298608a2ba524eb6c6aabb6.html
A股趣谈：底部靠信仰，顶部靠理智，你有信仰吗？|-| 节前5G牌照下发，概念股们开始各种花式蹭热点，其中有个公司表现的很突出，那就是大唐电信，当然了，大唐已经不是当年的大唐了，现如今，华为、中兴乘着5G的东风|-|云掌财经|-|7天前|-|https://news.tianyancha.com/detail/688d5a8dc4d534a696dc81f5a82411f6095ce3fe.html
中国5G商用牌照发放：高通将进一步融入中国5G产业|-|NR现场OTA移动试验，支持其于2019年实现5G网络商用部署。 此外，高通还与华为、中兴、大唐电信等电信设备厂商进行了5G互操作测试。4月23日|-|TOM网|-|7天前|-|https://news.tianyancha.com/detail/c1206019efb66e5fa7aded40b5a6c7f253289c0e.html
5G正式商用BAT争相布局新战场|-|网络构建到业务呈现的全生命周期管理流程。除了与三大运营商、华为的合作，腾讯还在2018年与诺基亚、大唐电信签署了5G战略合作框架，并于近日与中兴正式签署5G合作备忘录|-|中国投资咨询网|-|7天前|-|https://news.tianyancha.com/detail/4934721e4bec5f3c2a2168ddb951f67ff2afa6b1.html
解密主力资金出逃股连续5日净流出728股|-|000650| 仁和药业| 9| 8.56| 11.31| -23.03 600198| 大唐电信| 5| 7.81| 11.05| -7.34 002299| 圣农发展| 8||-|证券时报网|-|7天前|-|https://news.tianyancha.com/detail/fb5eda901b7ac33d8306635108002be11a1a6eba.html
处于典型牛市形态个股不足90只多只千亿市值股在列（名单）|-|像华虹计通、力源信息、正邦科技等个股5日乖离率已经小于-10%，跃岭股份、创意信息、大唐电信等17股5日乖离率小于-5%。 （文章来源：数据宝） （责任编辑：DF358） 郑重声明|-|东方财富网|-|7天前|-|https://news.tianyancha.com/detail/3f9fbed6efe6dde0d916187c210e4c59eb821d46.html
下属爱抱怨，领导该怎么办？|-|海信、烟台万华、华为、深圳西部人力、顺丰速运、粤海控股、两江控股、天门山旅游、南湖控股、上海圣为、大唐电信、武大卓越、无极限（中国）、中石油、中海油、中国人保、中国人寿、农行总行、招商银行|-|微信公众号|-|8天前|-|https://news.tianyancha.com/detail/4488b612e8dc51465786298a4f4bf986fb006355.html
明茨伯格：创新总是失败，是管理出了问题|-|海信、烟台万华、华为、深圳西部人力、顺丰速运、粤海控股、两江控股、天门山旅游、南湖控股、上海圣为、大唐电信、武大卓越、无极限（中国）、中石油、中海油、中国人保、中国人寿、农行总行、招商银行|-|微信公众号|-|8天前|-|https://news.tianyancha.com/detail/889481d5f520b0fe93a95174ad7a3aa53e1d650e.html
哈佛教授实证：身体状况竟随心念改变！|-|海信、烟台万华、华为、深圳西部人力、顺丰速运、粤海控股、两江控股、天门山旅游、南湖控股、上海圣为、大唐电信、武大卓越、无极限（中国）、中石油、中海油、中国人保、中国人寿、农行总行、招商银行|-|微信公众号|-|8天前|-|https://news.tianyancha.com/detail/3c01739f64edd74bc2656b663d992d92816c00d6.html
5G概念股有哪些？建议关注一览|-|银信科技 维通信 信威集团 威创股份 吴通控股 通宇通讯 鹏博士 国民技术 富春通信 东信和平 大唐电信 世纪鼎利 盛路通信 三元达 三维通信 大富科技 超讯通信 建关注： 运营商方面5G概念股|-|微信公众号|-|9天前|-|https://news.tianyancha.com/detail/6989fce06b27b5c070a8dc3b870cf10f5cb30068.html
是土豪还是骗子两大指标轻松识别！|-|百隆东方 长航油运 天龙光电 浪潮信息 雪莱特 GQY视讯 保险行业 蓝丰生化 大族激光 罗牛山 大唐电信 科融环境 太平洋 万兴科技 东方金钰 成飞集成 西安旅游 雏鹰农牧 香梨股份 方正电机|-|微信公众号|-|11天前|-|https://news.tianyancha.com/detail/95d32c84abedb58feb527acefaf61ec825973556.html
北京《伟杰骥羽》羽毛球暑期走训营|-| 本俱乐部会员卡一经出售，已交纳费用将不给予返还。 五教学点同时开班： 1.大唐电信羽毛球馆 具体地址：海淀区 学院路40号大唐电信集团院内 2.北京航空航天大学羽毛球馆|-|微信公众号|-|11天前|-|https://news.tianyancha.com/detail/bdedc3621a332f1f3174bcbcbd65f0ea9ec9686e.html
中国5G正式鸣枪，美国却玩起大跃进？|-|2G的落后、3G的追赶、4G并跑的中国，终于靠我们的勤劳智慧和不屈拼搏，华为、中兴、大唐电信、中国移动等企业合力，拿下全球超过30%以上的5G标准必要专利，登上了5G的巅峰。 今起，|-|微信公众号|-|11天前|-|https://news.tianyancha.com/detail/5ece51f42f1b1483bb1b3529a3ad80492f2a84e1.html
探寻问题背后的问题——提问的4个正确姿势|-|海信、烟台万华、华为、深圳西部人力、顺丰速运、粤海控股、两江控股、天门山旅游、南湖控股、上海圣为、大唐电信、武大卓越、无极限（中国）、中石油、中海油、中国人保、中国人寿、农行总行、招商银行|-|微信公众号|-|11天前|-|https://news.tianyancha.com/detail/4c839f9affc9ad929facc748cb81e75c3e7acf75.html
谁都不傻，只是不说而已|-|海信、烟台万华、华为、深圳西部人力、顺丰速运、粤海控股、两江控股、天门山旅游、南湖控股、上海圣为、大唐电信、武大卓越、无极限（中国）、中石油、中海油、中国人保、中国人寿、农行总行、招商银行|-|微信公众号|-|11天前|-|https://news.tianyancha.com/detail/33a2f812b0b492d501d95f65c897ae076a6057ba.html
5G发牌第四家运营商正式诞生|-|第二梯队中兴稍微赚钱，第三梯队的烽火通信和大唐电信基本不挣钱甚至亏损。 综上所述，在行业独特的结构下，只有少数主设备商（第一梯队|-|微信公众号|-|11天前|-|https://news.tianyancha.com/detail/e0eaecd2b13c625617f52cb97a70ed1342d2df42.html
美国懵了！刚刚，中国正式打响了5G第一枪！|-|2G的落后、3G的追赶、4G并跑的中国，终于靠我们的勤劳智慧和不屈拼搏，华为、中兴、大唐电信、中国移动等企业合力，拿下全球超过30%以上的5G标准必要专利，登上了5G的巅峰。 今起，|-|微信公众号|-|11天前|-|https://news.tianyancha.com/detail/0efe0cd3f9e19e6e1da082846192cbcd2a09321f.html
最全盘点∣80家在汉第二总部：有21家上市公司和17家独角兽|-|但旗下有多家上市公司。 重组而来的中国信科集团旗下有烽火通信、光迅科技、理工光科、长江通信、大唐电信和高鸿股份6家上市公司。其中，前4者是武汉本土成长起来的上市公司。|-|微信公众号|-|11天前|-|https://news.tianyancha.com/detail/2393490a4c82e7f1bf5f89ce5a0d2956df5a0dc0.html
5G商用牌照正式发放！智能网联汽车还会远吗？|中国汽车报|-|我国的相关企业和科研单位正在跨行业合作，推进LTE- V2X的应用推广，包括中国移动、中国联通、大唐电信、华为和汽车企业、零部件企业等，5G牌照的提前发放|-|微信公众号|-|11天前|-|https://news.tianyancha.com/detail/618e5bae5fa3cfba6a2d38f61331177cec365281.html
午评：创指震荡下行跌1.34%5G概念股大幅回调|-|带动上证50大幅回调，小银行跌幅居前，汽车板块大幅回调，领跌两市，半导体板块强势上涨，领涨两市，大唐电信等7股涨停，新材料概念表现较为强势，有研新材等4股涨停，临近午盘，证券板块强势拉升|-|金投网|-|11天前|-|https://news.tianyancha.com/detail/e0542fe28236f0468018972a7de435a009cf3806.html
四处并购留下一地鸡毛，一代“妖王”陨落|-|百隆东方 长航油运 天龙光电 浪潮信息 雪莱特 GQY视讯 保险行业 蓝丰生化 大族激光 罗牛山 大唐电信 科融环境 太平洋 万兴科技 东方金钰 成飞集成 西安旅游 雏鹰农牧 香梨股份 方正电机|-|微信公众号|-|12天前|-|https://news.tianyancha.com/detail/14333f86749eaef4d514997911ebc5abefdebe57.html
广电系昨日还涨得欢，今日为何却被市场“团灭”？|-|创意信息、中通国脉、汇源通信、欣天科技、纵横通信等。深南电路大涨6.4%，中兴通讯上涨5%，大唐电信上涨4.51%，光迅科技上涨3.8%，烽火通信上涨3.55%。|-|格隆汇|-|12天前|-|https://news.tianyancha.com/detail/beaa63791f836bdca65a7d297bb0ae83c92d154b.html
工信部发放4张5G商用牌照！5G产业链环节全梳理|-|投资为90亿元。 现将5G产业链环节梳理如下 基带芯片：高通、联发科、三星、华为海思、大唐电信； 通信模块：Gemalto、Telit、华为、中兴通讯、广和通； 天线/射频：信维通信|-|格隆汇|-|12天前|-|https://news.tianyancha.com/detail/1a795378926ad02305d8f2dd32e181f4e6316c76.html
华为5千万美元买下安防公司背后：憋了8年，已成海大宇劲敌！|-|华为更是一众安防企业中的集大成者。 第三代指挥中心业务上，华为生态合作伙伴有迪爱斯（大明鼎鼎的大唐电信（600198）旗下应急指挥系统领先企业）、明略（知识图谱、大数据）、云天励飞|-|和讯科技|-|12天前|-|https://news.tianyancha.com/detail/380f51177c7fd4ef318b646ecc66e686db3c72ac.html
「焦点复盘」高位股持续巨震敦煌种业尾盘奇袭涨停|-|并带动边缘计算和网络切片等相关题材逆势飘红。不过需要注意的是，5G板块内分歧在逐渐加大，大唐电信、东方通信等前期热门妖股遭到资金抛售，可以看出随着牌照发放日期越来越近|-|云掌财经|-|12天前|-|https://news.tianyancha.com/detail/b7431e9593c185db559e135ece0e613ebb4eb563.html
【股市分析】A股市场低开低走黄金概念股逆市走强|-|铭普光磁五连板，汇源通信四连板后突然出现跳水翻绿，超讯通信、恒铭达等个股封于涨停，但大唐电信、力源信息等个股跌逾4%。 此外，继续受资金避险情绪影响，黄金概念股逆市走强受追捧|-|长城网|-|13天前|-|https://news.tianyancha.com/detail/6ba071d94d9d4d435c5f1277b816abe09229cc3b.html
福建造5G智能客车惊艳北京国际道路运输展|-|我省的金龙客车全球首发智能网联城市公交"5G智慧城市之光"。 据介绍，金龙客车已联合大唐电信开展5G智能网联公交试运行，包括车道保持、跟车行驶|-|福州新闻网|-|13天前|-|https://news.tianyancha.com/detail/afbc766d5ce9f4e1719b1ff185bc4728ff1cbc49.html
【突围】于燮康：我国集成电路产业突围已在路上；澜起科技已布局研发DDR5内存接口芯片；江苏华存：正在攻关12纳米SSD主控|-|哪家企业科创属性更强？ 8.水晶光电：华为事件对公司业务影响不大 9.大唐电信拟对合肥大唐存储科技增资，拓展安全存储新业务|-|微信公众号|-|13天前|-|https://news.tianyancha.com/detail/a78ca75984a801522a773b6da696031100541bee.html
【示警】郭台铭示警贸易战恐全面开打；美检察官敦促法官驳回华为新议案；全球半导体设备销售放缓；中美贸易战下，全球供应链或将改写！|-|哪家企业科创属性更强？ 8.水晶光电：华为事件对公司业务影响不大 9.大唐电信拟对合肥大唐存储科技增资，拓展安全存储新业务|-|微信公众号|-|13天前|-|https://news.tianyancha.com/detail/d79e6be5b576646165fc92c9c7f4fe2b9fef632d.html
【落户】40亿元!比亚迪锂电池项目落户广州增城;光鉴科技获1500万美金A轮融资;京东东莞拿地，200亿元AI项目或将开建|-|哪家企业科创属性更强？ 8.水晶光电：华为事件对公司业务影响不大 9.大唐电信拟对合肥大唐存储科技增资，拓展安全存储新业务|-|微信公众号|-|13天前|-|https://news.tianyancha.com/detail/57dae83af0ac6e1968a66989367b600f89f0c29b.html
孟晚舟出庭日期将延期？华为否认正在削减手机产量;浅析雷军为何要挂帅小米中国区总裁;一加7Pro成为最流畅手机；|-|哪家企业科创属性更强？ 8.水晶光电：华为事件对公司业务影响不大 9.大唐电信拟对合肥大唐存储科技增资，拓展安全存储新业务|-|微信公众号|-|13天前|-|https://news.tianyancha.com/detail/f0285a3b502e6fe2f2ae3e273c12e44ad8fc4539.html
【比拼】12家集成电路企业科研实力大比拼；第三批科创板IPO上会企业出炉；水晶光电：华为事件对公司业务影响；|-|哪家企业科创属性更强？ 2.水晶光电：华为事件对公司业务影响不大 3.大唐电信拟对合肥大唐存储科技增资，拓展安全存储新业务 4.太极实业拟与威孚高科等合资设立半导体公司|-|微信公众号|-|13天前|-|https://news.tianyancha.com/detail/85b2728ea87260634cebab71c6a8ac397978b406.html
【超越】TCL超三星电子，北美电视市场市占率得第一；苹果发布6KRetina显示器；5G技术驱动显示面板市场新机遇；|-|哪家企业科创属性更强？ 8.水晶光电：华为事件对公司业务影响不大 9.大唐电信拟对合肥大唐存储科技增资，拓展安全存储新业务|-|微信公众号|-|13天前|-|https://news.tianyancha.com/detail/f558f7494eb01b97925b1b4d8c46144c01ab5916.html
【解密】如何实现超声波屏下指纹解锁技术;华为收购莫斯科安防技术企业;苹果iOS13采用全新电池优化功能；三星5G通信方案量产；|-|哪家企业科创属性更强？ 8.水晶光电：华为事件对公司业务影响不大 9.大唐电信拟对合肥大唐存储科技增资，拓展安全存储新业务|-|微信公众号|-|13天前|-|https://news.tianyancha.com/detail/5cf4ccd48e73b7c82b6831f039a7e50568ee3cb8.html
上海金桥出口加工区开发股份有限公司公告（系列）|-|大唐移动通信设备有限公司副总经理（期间，于2010年9月至2011年6月挂任浦东新区区长助理）；大唐电信科技产业集团物联网和行业信息化事业部总经理；上海临港产业区管理委员会主任助理、党组成员|-|证券时报-电子版|-|13天前|-|https://news.tianyancha.com/detail/4c3dd45da1347b5b1d4457437aa94c2e25b8b9f1.html
通信行业周报:全球光模块龙头整合国内厂商营收规模逐步赶超|-|27.17%）、星网锐捷（10.52%）、永鼎股份（9.65%）、大唐电信（8.16%）、邦讯技术（5.65%）。跌幅排名前五的是光库科技（-19.77%）|-|中国银河证券|-|13天前|-|https://news.tianyancha.com/detail/f675809f32d6d4428260760ec6b4d265d0528282.html
尾盘强烈异动暴露后市主线|-|明显已经不耐烦了。盘中华脉科技、欣天科技、铭普光磁开盘，汇源通信尾盘更是炸板，最终收跌7.23%。大唐电信、贝通信等5G概念股尾盘均出现一波杀跌。 最强热点都出现这种情况，市场情绪可见是比较差的|-|微信公众号|-|13天前|-|https://news.tianyancha.com/detail/6ceeb5efff93f5d527a401c81fc6efc155697bb1.html
苏轼：做人，要有几分“孩子气”|-|海信、烟台万华、华为、深圳西部人力、顺丰速运、粤海控股、两江控股、天门山旅游、南湖控股、上海圣为、大唐电信、武大卓越、无极限（中国）、中石油、中海油、中国人保、中国人寿、农行总行、招商银行|-|微信公众号|-|13天前|-|https://news.tianyancha.com/detail/182ce1d052edacc46fda4038a24e5ecff3de462c.html
