2019-03-29|宋云山与乔大林、宋长林等与企业有关的纠纷二审民事判决书|与企业有关的纠纷|上诉人-内蒙古乾泰实业集团有限公司|（2018）内06民终2398号|https://www.tianyancha.com/lawsuit/944f0a15075640cbb83fe242b3f5de5c
2017-08-07|乌海银行股份有限公司海南支行与鄂尔多斯市盛亨商贸有限责任公司、内蒙古乾泰实业集团有限公司等借款合同纠纷一审民事判决书|借款合同纠纷|原告-乌海银行股份有限公司海南支行被告-鄂尔多斯市盛亨商贸有限责任公司,内蒙古乾泰实业集团有限公司|（2015）乌中民一初字第31号|https://www.tianyancha.com/lawsuit/070fb0ff3b8911e8b0207cd30ae00c08
2016-12-13|武安市裕华钢铁有限公司与郭成军、内蒙古乾泰实业集团有限公司合同纠纷一审民事裁定书|合同纠纷|原告-武安市裕华钢铁有限公司被告-内蒙古乾泰实业集团有限公司|（2016）冀民初51号|https://www.tianyancha.com/lawsuit/03231bb17ef3400594cca000c0d9c02a
2016-04-21|乌海银行股份有限公司海南支行诉盛雄煤炭、乾泰实业、张生录一审民事判决书|-|原告-乌海银行股份有限公司海南支行被告-鄂尔多斯市盛雄煤炭运销有限责任公司,内蒙古乾泰实业集团有限公司|（2015）海南民一初字第1131号|https://www.tianyancha.com/lawsuit/a221b7d8bfd94fb283d5641312a803b3
2016-04-21|乌海银行诉盛雄煤炭、乾泰实业、张生录一审民事判决书|-|原告-乌海银行股份有限公司海南支行被告-鄂尔多斯市盛雄煤炭运销有限责任公司,内蒙古乾泰实业集团有限公司|（2015）海南民一初字第1128号|https://www.tianyancha.com/lawsuit/9007ed3160774351a5231e1960ea5569
2016-04-11|乌海银行股份有限公司海南支行诉鄂尔多斯市图盛商贸有限责任公司、宋云山、魏红英、潘生智等借款合同纠纷一审民事判决书|借款合同纠纷|原告-乌海银行股份有限公司海南支行被告-鄂尔多斯市图盛商贸有限责任公司,内蒙古乾泰实业集团有限公司|（2015）海南民一初字第1125号|https://www.tianyancha.com/lawsuit/3db267bdf4c94da28e9ca3d0b9d5f981
2016-03-21|内蒙古乾泰实业集团有限公司与中联重科融资租赁（中国）有限公司及宋云山、鄂尔多斯市亿宏煤矿融资租赁合同纠纷二审民事判决书|融资租赁合同纠纷|上诉人-内蒙古乾泰实业集团有限公司被上诉人-中联重科融资租赁（中国）有限公司|（2016）陕民终56号|https://www.tianyancha.com/lawsuit/0e21027d48e24837830a4825f61ed756
2015-10-25|中国民生银行股份有限公司呼和浩特分行申请鄂尔多斯市宝隆商贸有限公司等合同、无因管理、不当得利纠纷普通执行终结本次执行程序裁定书|不当得利纠纷|申请执行人-中国民生银行股份有限公司呼和浩特分行被执行人-鄂尔多斯市宝隆商贸有限公司,内蒙古乾泰实业集团有限公司|（2015）鄂执行字第00520号|https://www.tianyancha.com/lawsuit/fb87db880ea0474f846f78b34b4a1f21
2015-08-13|原告乌海银行股份有限公司海南支行与被告鄂尔多斯市图盛商贸有限责任公司、宋云山、魏红英、潘生智、杨丽利、李智、内蒙古乾泰实业集团有限公司借款合同纠纷一审民事裁定书|借款合同纠纷|原告-乌海银行股份有限公司海南支行被告-鄂尔多斯市图盛商贸有限责任公司,内蒙古乾泰实业集团有限公司|（2015）海南民一初字第684号|https://www.tianyancha.com/lawsuit/49cc65291cb611e6b554008cfae40dc0
2015-08-13|1原告乌海银行股份有限公司海南支行与被告鄂尔多斯市盛雄煤炭运销有限责任公司、内蒙古乾泰实业集团有限公司、张生录借款合同纠纷一审民事裁定书|借款合同纠纷|原告-乌海银行股份有限公司海南支行被告-鄂尔多斯市盛雄煤炭运销有限责任公司,内蒙古乾泰实业集团有限公司|（2015）海南民一初字第701号|https://www.tianyancha.com/lawsuit/49cceb401cb611e6b554008cfae40dc0
2015-08-13|原告乌海银行股份有限公司海南支行与被告鄂尔多斯市盛雄煤炭运销有限责任公司、内蒙古乾泰实业集团有限公司、张生录借款合同纠纷一审民事裁定书|借款合同纠纷|原告-乌海银行股份有限公司海南支行被告-鄂尔多斯市盛雄煤炭运销有限责任公司,内蒙古乾泰实业集团有限公司|（2015）海南民一初字第699号|https://www.tianyancha.com/lawsuit/49cd6ddf1cb611e6b554008cfae40dc0
2015-03-23|中联重科融资租赁（中国）有限公司与内蒙古乾泰实业集团有限公司、宋某某甲、鄂尔多斯市亿宏煤矿融资租赁合同纠纷一案的执行裁定书|融资租赁合同纠纷|申请执行人-中联重科融资租赁（中国）有限公司被执行人-内蒙古乾泰实业集团有限公司|（2015）渭中执保字第00002号|https://www.tianyancha.com/lawsuit/7cafc1311cb711e6b554008cfae40dc0
-|中联重科融资租赁（中国）有限公司与被执行人内蒙古乾泰实业集团有限公司、宋某某、鄂尔多斯市亿宏煤矿融资租赁合同纠纷一案的执行裁定书|融资租赁合同纠纷|申请执行人-中联重科融资租赁（中国）有限公司被执行人-内蒙古乾泰实业集团有限公司|（2016）陕05执89号|https://www.tianyancha.com/lawsuit/a444dd89a6e841908cbc1abe80e452ee
