2019-01-21|王布和额尔敦与东乌珠穆沁旗鑫地资源开发有限公司劳务合同纠纷一案执行裁定书|劳务合同纠纷|被执行人-东乌珠穆沁旗鑫地资源开发有限公司|（2018）内2525执676号|https://www.tianyancha.com/lawsuit/afb37b762e284da6a4b39de1c21b0ba3
2017-12-23|东乌珠穆沁旗华融小额贷款有限责任公司与东乌珠穆沁旗鑫地资源开发有限公司、河北滦水实业有限责任公司借款合同纠纷一案终结本次执行程序裁定书|借款合同纠纷|申请人-东乌珠穆沁旗华融小额贷款有限责任公司被执行人-东乌珠穆沁旗鑫地资源开发有限公司,河北滦水实业有限责任公司|（2017）内2525执698号|https://www.tianyancha.com/lawsuit/be270fcd0a5311e881ec008cfaf870e0
2017-12-23|东乌珠穆沁旗华融小额贷款有限责任公司与东乌珠穆沁旗鑫地资源开发有限公司、河北滦水实业有限责任公司款合同纠纷一案终结本次执行程序裁定书|合同纠纷|原告-东乌珠穆沁旗华融小额贷款有限责任公司被告-东乌珠穆沁旗鑫地资源开发有限公司,河北滦水实业有限责任公司|（2017）内2525执697号之一|https://www.tianyancha.com/lawsuit/be38a3440a5311e881ec008cfaf870e0
2017-12-23|东乌珠穆沁旗华融小额贷款有限责任公司与东乌珠穆沁旗鑫地资源开发有限公司、河北滦水实业有限责任公司借款合同纠纷一案终结本次执行程序裁定书|借款合同纠纷|申请人-东乌珠穆沁旗华融小额贷款有限责任公司被执行人-东乌珠穆沁旗鑫地资源开发有限公司,河北滦水实业有限责任公司|（2017）内2525执696号|https://www.tianyancha.com/lawsuit/be4c4fa90a5311e881ec008cfaf870e0
2017-12-22|冯梅与东乌珠穆沁旗鑫地资源开发有限公司追索劳动报酬纠纷一审民事判决书|追索劳动报酬纠纷|被告-东乌珠穆沁旗鑫地资源开发有限公司|（2017）内2525民初1593号|https://www.tianyancha.com/lawsuit/be6c9b960a5311e881ec008cfaf870e0
2017-12-19|李二江与东乌珠穆沁旗鑫地资源开发有限公司追索劳动报酬纠纷一审民事判决书|追索劳动报酬纠纷|原告-东乌珠穆沁旗鑫地资源开发有限公司被告-东乌珠穆沁旗鑫地资源开发有限公司|（2017）内2525民初1584号|https://www.tianyancha.com/lawsuit/dab2cab1958111e8a8b47cd30ae00894
2017-12-19|王立海与东乌珠穆沁旗鑫地资源开发有限公司追索劳动报酬纠纷一审民事判决书|追索劳动报酬纠纷|原告-内蒙古泓泰投资开发有限公司被告-东乌珠穆沁旗鑫地资源开发有限公司|（2017）内2525民初1581号|https://www.tianyancha.com/lawsuit/be55bed80a5311e881ec008cfaf870e0
2017-11-17|孔庆水、迁安市西峡口铁矿执行实施类执行裁定书|-|被执行人-河北迁安化肥股份有限公司,阿鲁科尔沁旗天山煤业化工有限公司,东乌珠穆沁旗鑫地资源开发有限公司,青龙满族自治县华源铁业有限公司|（2017）冀执21号|https://www.tianyancha.com/lawsuit/be7ddacf0a5311e881ec008cfaf870e0
2017-09-06|华宝信托有限责任公司诉河北滦水矿业控股集团有限公司金融借款合同纠纷一案一审民事裁定书|金融借款合同纠纷|原告-华宝信托有限责任公司被告-河北滦水矿业控股集团有限公司,青龙满族自治县义合矿业有限公司,河北迁安化肥股份有限公司,河北省迁安化工集团有限责任公司,河北滦水实业有限责任公司,滦县宏林半碑店矿业有限公司,东乌珠穆沁旗鑫地资源开发有限公司|（2014）沪一中民六（商）初字第143号|https://www.tianyancha.com/lawsuit/68206ee7969411e788a5008cfaf8725a
2016-05-25|韩冰与河北省迁安化工集团有限责任公司、郑宝海民间借贷纠纷一审民事裁定书|民间借贷纠纷|被告-河北省迁安化工集团有限责任公司,青龙满族自治县义合矿业有限公司,秦皇岛森源矿业发展有限公司,青龙满族自治县华源铁业有限公司,滦县宏林半碑店矿业有限公司,河北迁安化肥股份有限公司,东乌珠穆沁旗鑫地资源开发有限公司,内蒙古平煤阿鲁科尔沁旗煤业有限责任公司|（2015）安民初字第503号|https://www.tianyancha.com/lawsuit/b66852f769a4456996c35230c04fea15
2015-09-17|梁彬与河北迁安化肥股份有限公司、郑宝海借款合同纠纷一审民事调解书|借款合同纠纷|被告-河北迁安化肥股份有限公司,河北滦水实业有限责任公司,东乌珠穆沁旗鑫地资源开发有限公司,阿鲁科尔沁旗天山煤业化工有限公司|（2015）沧民初字第39号|https://www.tianyancha.com/lawsuit/1512552e1cb611e6b554008cfae40dc0
2015-02-12|中国农业银行股份有限公司迁安市支行等诉迁安市西峡口铁矿金融借款合同纠纷一案执行裁定书|金融借款合同纠纷|原告-华宝信托有限责任公司异议人-中国农业银行股份有限公司迁安市支行,河北滦水实业有限责任公司,河北省迁安化工集团有限责任公司,滦县宏林半碑店矿业有限公司,东乌珠穆沁旗鑫地资源开发有限公司|（2015）沪一中执异字第8号|https://www.tianyancha.com/lawsuit/ca168e3a1cb611e6b554008cfae40dc0
