2019-04-24|呼勇等民事执行裁定书|民事执行|申请执行人-上海睿卉资产管理有限公司被执行人-鄂尔多斯市乌审旗勇泰酒店有限公司,乌审旗国有资产投资经营有限责任公司|（2019）京03执恢68号|https://www.tianyancha.com/lawsuit/03e35f9734ea417caf9f9e707c426976
2017-12-12|乌审旗国有资产投资经营有限责任公司申请执行鄂尔多斯市勇泰热电集团有限责任公司借款合同纠纷一案执行裁定书|借款合同纠纷|申请执行人-乌审旗国有资产投资经营有限责任公司,乌审旗勇泰房地产开发有限责任公司被执行人-鄂尔多斯市勇泰热电集团有限责任公司|（2017）内0626执55号|https://www.tianyancha.com/lawsuit/13188d6b11a311e881ec008cfaf870e0
2017-11-17|乌审旗国有资产投资经营有限责任公司与鄂尔多斯市天旭轻合金有限责任公司合同、无因管理、不当得利执行实施类执行裁定书|-|申请人-乌审旗国有资产投资经营有限责任公司被执行人-鄂尔多斯市天旭轻合金有限责任公司|（2016）内0626执1527号|https://www.tianyancha.com/lawsuit/efbff9c93acc11e8b0207cd30ae00c08
2016-12-21|上海睿卉资产管理有限公司与呼勇等借款合同纠纷一审民事判决书|借款合同纠纷|原告-上海睿卉资产管理有限公司被告-呼勇,乌审旗国有资产投资经营有限责任公司,鄂尔多斯市乌审旗勇泰酒店有限公司|2014年三中民初字第07523号|https://www.tianyancha.com/lawsuit/3035125a6b24498da9a8094855e9711b
2016-05-26|湖南省华磊投资有限公司与鄂尔多斯市乌审旗水务有限公司、乌审旗国有资产投资经营有限责任公司合同纠纷二审民事判决书|合同纠纷|上诉人-鄂尔多斯市乌审旗水务有限公司被上诉人-湖南省华磊投资有限公司,乌审旗国有资产投资经营有限责任公司|（2016）湘民终233号|https://www.tianyancha.com/lawsuit/7b5c69752f284a8c9d87825b3a1c27e1
2016-05-25|鄂尔多斯市乌审旗永泰酒店有限公司借款合同纠纷申诉、申请民事裁定书|借款合同纠纷|再审申请人-鄂尔多斯市乌审旗勇泰酒店有限公司被申请人-上海睿卉资产管理有限公司,乌审旗国有资产投资经营有限责任公司|（2016）京民申1675号|https://www.tianyancha.com/lawsuit/fde1be93aa214f50802167f413025528
2016-05-25|呼勇借款合同纠纷申诉、申请民事裁定书|借款合同纠纷|被申请人-上海睿卉资产管理有限公司,鄂尔多斯市乌审旗勇泰酒店有限公司,乌审旗国有资产投资经营有限责任公司|（2016）京民申1679号|https://www.tianyancha.com/lawsuit/147902cceebd475f8dc0b2b7ceb34bd3
2015-12-11|乌审旗国有资产投资经营有限责任公司诉内蒙古正邦房地产开发有限公司借款合同纠纷一审民事判决书|借款合同纠纷|原告-乌审旗国有资产投资经营有限责任公司被告-内蒙古正邦房地产开发有限公司|（2014）乌商初字第9号|https://www.tianyancha.com/lawsuit/ce34cec47ce14b94aeb84b5e85ecb230
2015-09-04|乌审旗农村信用合作联社诉乌审旗察罕苏力德生态游牧旅游有限责任公司等金融借款合同纠纷一审民事判决书|金融借款合同纠纷|被告-乌审旗国有资产投资经营有限责任公司|（2015）乌商初字第7号|https://www.tianyancha.com/lawsuit/722b54bf0bba4903b969590c115dfcb9
2015-06-19|上海睿卉资产管理有限公司与呼勇等借款合同纠纷一审民事判决书|借款合同纠纷|原告-上海睿卉资产管理有限公司被告-鄂尔多斯市乌审旗勇泰酒店有限公司,乌审旗国有资产投资经营有限责任公司|（2014）三中民初字第07523号|https://www.tianyancha.com/lawsuit/aa91921c25f24c6fab3a892f2dbe9dd5
2012-01-05|乌审旗国有资产投资经营有限责任公司公示催告民事判决书|-|申请人-乌审旗国有资产投资经营有限责任公司|（2011）甬慈催字第308号|https://www.tianyancha.com/lawsuit/2dfd9fe1ab964e1782de27bb2b47675b
