柳审环城证字【2017】031号|柳州市排放污染物许可证|-|-|-|废气
车11桂B00983(18)|特种设备使用登记|2018年11月01日|-|柳州市行政审批局|机动工业车辆
车11桂B00982(18)|特种设备使用登记|2018年11月01日|-|柳州市行政审批局|机动工业车辆
车00桂B00017(18)|特种设备使用登记|2018年11月01日|-|柳州市行政审批局|场（厂）内专用机动车辆
车11桂B00981(18)|特种设备使用登记|2018年11月01日|-|柳州市行政审批局|机动工业车辆
车11桂B00980(18)|特种设备使用登记|2018年11月01日|-|柳州市行政审批局|机动工业车辆
车00桂B00015(18)|特种设备使用登记|2018年11月01日|-|柳州市行政审批局|场（厂）内专用机动车辆
车11桂B00979(18)|特种设备使用登记|2018年11月01日|-|柳州市行政审批局|机动工业车辆
车00桂B00020(18)|特种设备使用登记|2018年11月01日|-|柳州市行政审批局|场（厂）内专用机动车辆
车00桂B00019(18)|特种设备使用登记|2018年11月01日|-|柳州市行政审批局|场（厂）内专用机动车辆
车11桂B00989(18)|特种设备使用登记|2018年11月01日|-|柳州市行政审批局|机动工业车辆
车11桂B01009(18)|特种设备使用登记|2018年11月01日|-|柳州市行政审批局|机动工业车辆
车11桂B01008(18)|特种设备使用登记|2018年11月01日|-|柳州市行政审批局|机动工业车辆
车00桂B00016(18)|特种设备使用登记|2018年11月01日|-|柳州市行政审批局|场（厂）内专用机动车辆
车11桂B01007(18)|特种设备使用登记|2018年11月01日|-|柳州市行政审批局|机动工业车辆
车11桂B01006(18)|特种设备使用登记|2018年11月01日|-|柳州市行政审批局|机动工业车辆
车11桂B01005(18)|特种设备使用登记|2018年11月01日|-|柳州市行政审批局|机动工业车辆
车11桂B01003(18)|特种设备使用登记|2018年11月01日|-|柳州市行政审批局|机动工业车辆
车11桂B01004(18)|特种设备使用登记|2018年11月01日|-|柳州市行政审批局|机动工业车辆
车11桂B01002(18)|特种设备使用登记|2018年11月01日|-|柳州市行政审批局|机动工业车辆
车11桂B01048(18)|特种设备使用登记|2018年11月08日|-|柳州市行政审批局|机动工业车辆
车11桂B01040(18)|特种设备使用登记|2018年11月08日|-|柳州市行政审批局|机动工业车辆
车11桂B01050(18)|特种设备使用登记|2018年11月08日|-|柳州市行政审批局|机动工业车辆
车11桂B01038(18)|特种设备使用登记|2018年11月08日|-|柳州市行政审批局|机动工业车辆
车11桂B01039(18)|特种设备使用登记|2018年11月08日|-|柳州市行政审批局|机动工业车辆
车00桂B00025(18)|特种设备使用登记|2018年11月08日|-|柳州市行政审批局|场（厂）内专用机动车辆
车11桂B01043(18)|特种设备使用登记|2018年11月08日|-|柳州市行政审批局|机动工业车辆
车00桂B00024(18)|特种设备使用登记|2018年11月08日|-|柳州市行政审批局|场（厂）内专用机动车辆
车11桂B01049(18)|特种设备使用登记|2018年11月08日|-|柳州市行政审批局|机动工业车辆
桂B·A1898|特种设备使用登记|2018年11月08日|-|柳州市行政审批局|机动工业车辆
车00桂B00023(18)|特种设备使用登记|2018年11月08日|-|柳州市行政审批局|场（厂）内专用机动车辆
车00桂B00022(18)|特种设备使用登记|2018年11月08日|-|柳州市行政审批局|场（厂）内专用机动车辆
车11桂B01037(18)|特种设备使用登记|2018年11月08日|-|柳州市行政审批局|机动工业车辆
桂B·A1746|特种设备使用登记|2018年11月08日|-|柳州市行政审批局|机动工业车辆
车00桂B00021(18)|特种设备使用登记|2018年11月08日|-|柳州市行政审批局|场（厂）内专用机动车辆
梯11桂B04442(18)|特种设备使用登记|2018年11月19日|-|柳州市行政审批局|曳引与强制驱动电梯
梯11桂B04440(18)|特种设备使用登记|2018年11月19日|-|柳州市行政审批局|曳引与强制驱动电梯
梯11桂B04444(18)|特种设备使用登记|2018年11月19日|-|柳州市行政审批局|曳引与强制驱动电梯
梯11桂B04443(18)|特种设备使用登记|2018年11月19日|-|柳州市行政审批局|曳引与强制驱动电梯
梯11桂B04447(18)|特种设备使用登记|2018年11月19日|-|柳州市行政审批局|曳引与强制驱动电梯
梯11桂B04446(18)|特种设备使用登记|2018年11月19日|-|柳州市行政审批局|曳引与强制驱动电梯
梯11桂B04441(18)|特种设备使用登记|2018年11月19日|-|柳州市行政审批局|曳引与强制驱动电梯
梯11桂B04445(18)|特种设备使用登记|2018年11月19日|-|柳州市行政审批局|曳引与强制驱动电梯
起11桂B00461(18)|特种设备使用登记|2018年12月03日|-|柳州市行政审批局|桥式起重机
起11桂B00463(18)|特种设备使用登记|2018年12月03日|-|柳州市行政审批局|桥式起重机
起11桂B00462(18)|特种设备使用登记|2018年12月03日|-|柳州市行政审批局|桥式起重机
起11桂B00460(18)|特种设备使用登记|2018年12月03日|-|柳州市行政审批局|桥式起重机
起11桂B00459(18)|特种设备使用登记|2018年12月03日|-|柳州市行政审批局|桥式起重机
起11桂B00464(18)|特种设备使用登记|2018年12月03日|-|柳州市行政审批局|桥式起重机
起01桂B00047(18)|特种设备使用登记|2018年12月03日|-|柳州市行政审批局|起重机械
起17桂B00608(18)|特种设备使用登记|2018年12月03日|-|柳州市行政审批局|桥式起重机
起17桂B00607(18)|特种设备使用登记|2018年12月03日|-|柳州市行政审批局|桥式起重机
起17桂B00606(18)|特种设备使用登记|2018年12月03日|-|柳州市行政审批局|桥式起重机
起10桂B00016(18)|特种设备使用登记|2018年12月03日|-|柳州市行政审批局|桥式起重机
起17桂B00610(18)|特种设备使用登记|2018年12月03日|-|柳州市行政审批局|桥式起重机
起10桂B00017(18)|特种设备使用登记|2018年12月03日|-|柳州市行政审批局|桥式起重机
起10桂B00014(18)|特种设备使用登记|2018年12月03日|-|柳州市行政审批局|桥式起重机
起10桂B00013(18)|特种设备使用登记|2018年12月03日|-|柳州市行政审批局|桥式起重机
起17桂B00612(18)|特种设备使用登记|2018年12月03日|-|柳州市行政审批局|桥式起重机
起17桂B00611(18)|特种设备使用登记|2018年12月03日|-|柳州市行政审批局|桥式起重机
起17桂B00609(18)|特种设备使用登记|2018年12月03日|-|柳州市行政审批局|桥式起重机
起10桂B00015(18)|特种设备使用登记|2018年12月03日|-|柳州市行政审批局|桥式起重机
起11桂B00465(18)|特种设备使用登记|2018年12月03日|-|柳州市行政审批局|桥式起重机
起10桂B00019(18)|特种设备使用登记|2018年12月03日|-|柳州市行政审批局|桥式起重机
起10桂B00020(18)|特种设备使用登记|2018年12月03日|-|柳州市行政审批局|桥式起重机
起11桂B00482(18)|特种设备使用登记|2018年12月03日|-|柳州市行政审批局|桥式起重机
起10桂B00018(18)|特种设备使用登记|2018年12月03日|-|柳州市行政审批局|桥式起重机
起17桂B00633(18)|特种设备使用登记|2018年12月03日|-|柳州市行政审批局|桥式起重机
起17桂B00632(18)|特种设备使用登记|2018年12月03日|-|柳州市行政审批局|桥式起重机
起11桂B00481(18)|特种设备使用登记|2018年12月03日|-|柳州市行政审批局|桥式起重机
起11桂B00480(18)|特种设备使用登记|2018年12月03日|-|柳州市行政审批局|桥式起重机
起11桂B00479(18)|特种设备使用登记|2018年12月03日|-|柳州市行政审批局|桥式起重机
起10桂B00021(18)|特种设备使用登记|2018年12月03日|-|柳州市行政审批局|桥式起重机
起10桂B00026(18)|特种设备使用登记|2018年12月04日|-|柳州市行政审批局|桥式起重机
起10桂B00027(18)|特种设备使用登记|2018年12月04日|-|柳州市行政审批局|桥式起重机
起10桂B00029(18)|特种设备使用登记|2018年12月04日|-|柳州市行政审批局|桥式起重机
起10桂B00030(18)|特种设备使用登记|2018年12月04日|-|柳州市行政审批局|桥式起重机
起17桂B00675(18)|特种设备使用登记|2018年12月04日|-|柳州市行政审批局|桥式起重机
起17桂B00674(18)|特种设备使用登记|2018年12月04日|-|柳州市行政审批局|桥式起重机
起10桂B00028(18)|特种设备使用登记|2018年12月04日|-|柳州市行政审批局|桥式起重机
起17桂B00673(18)|特种设备使用登记|2018年12月04日|-|柳州市行政审批局|桥式起重机
起27桂B00047(18)|特种设备使用登记|2018年12月04日|-|柳州市行政审批局|门式起重机
起27桂B00046(18)|特种设备使用登记|2018年12月04日|-|柳州市行政审批局|门式起重机
起01桂B00050(18)|特种设备使用登记|2018年12月04日|-|柳州市行政审批局|起重机械
起17桂B00672(18)|特种设备使用登记|2018年12月04日|-|柳州市行政审批局|桥式起重机
起11桂B00512(18)|特种设备使用登记|2018年12月04日|-|柳州市行政审批局|桥式起重机
起17桂B00762(18)|特种设备使用登记|2018年12月24日|-|柳州市行政审批局|桥式起重机
起17桂B00761(18)|特种设备使用登记|2018年12月24日|-|柳州市行政审批局|桥式起重机
起17桂B00760(18)|特种设备使用登记|2018年12月24日|-|柳州市行政审批局|桥式起重机
起17桂B00759(18)|特种设备使用登记|2018年12月24日|-|柳州市行政审批局|桥式起重机
起17桂B00758(18)|特种设备使用登记|2018年12月24日|-|柳州市行政审批局|桥式起重机
起11桂B00603(18)|特种设备使用登记|2018年12月26日|-|柳州市行政审批局|桥式起重机
起11桂B00602(18)|特种设备使用登记|2018年12月26日|-|柳州市行政审批局|桥式起重机
起11桂B00601(18)|特种设备使用登记|2018年12月26日|-|柳州市行政审批局|桥式起重机
起11桂B00600(18)|特种设备使用登记|2018年12月26日|-|柳州市行政审批局|桥式起重机
起11桂B00599(18)|特种设备使用登记|2018年12月26日|-|柳州市行政审批局|桥式起重机
起27桂B00055(18)|特种设备使用登记|2018年12月26日|-|柳州市行政审批局|门式起重机
起27桂B00054(18)|特种设备使用登记|2018年12月26日|-|柳州市行政审批局|门式起重机
起27桂B00053(18)|特种设备使用登记|2018年12月26日|-|柳州市行政审批局|门式起重机
起27桂B00052(18)|特种设备使用登记|2018年12月26日|-|柳州市行政审批局|门式起重机
起27桂B00051(18)|特种设备使用登记|2018年12月26日|-|柳州市行政审批局|门式起重机
起27桂B00050(18)|特种设备使用登记|2018年12月26日|-|柳州市行政审批局|门式起重机
起17桂B00799(18)|特种设备使用登记|2018年12月26日|-|柳州市行政审批局|桥式起重机
起17桂B00798(18)|特种设备使用登记|2018年12月26日|-|柳州市行政审批局|桥式起重机
起17桂B00797(18)|特种设备使用登记|2018年12月26日|-|柳州市行政审批局|桥式起重机
起17桂B00796(18)|特种设备使用登记|2018年12月26日|-|柳州市行政审批局|桥式起重机
起11桂B00607(18)|特种设备使用登记|2018年12月26日|-|柳州市行政审批局|桥式起重机
起11桂B00606(18)|特种设备使用登记|2018年12月26日|-|柳州市行政审批局|桥式起重机
起17桂B00795(18)|特种设备使用登记|2018年12月26日|-|柳州市行政审批局|桥式起重机
起11桂B00605(18)|特种设备使用登记|2018年12月26日|-|柳州市行政审批局|桥式起重机
起11桂B00604(18)|特种设备使用登记|2018年12月26日|-|柳州市行政审批局|桥式起重机
起10桂B00034(18)|特种设备使用登记|2018年12月26日|-|柳州市行政审批局|桥式起重机
起17桂B00803(18)|特种设备使用登记|2018年12月26日|-|柳州市行政审批局|桥式起重机
起17桂B00802(18)|特种设备使用登记|2018年12月26日|-|柳州市行政审批局|桥式起重机
起17桂B00801(18)|特种设备使用登记|2018年12月26日|-|柳州市行政审批局|桥式起重机
起11桂B00608(18)|特种设备使用登记|2018年12月26日|-|柳州市行政审批局|桥式起重机
起17桂B00800(18)|特种设备使用登记|2018年12月26日|-|柳州市行政审批局|桥式起重机
起27桂B00063(18)|特种设备使用登记|2018年12月26日|-|柳州市行政审批局|门式起重机
起27桂B00062(18)|特种设备使用登记|2018年12月26日|-|柳州市行政审批局|门式起重机
起27桂B00061(18)|特种设备使用登记|2018年12月26日|-|柳州市行政审批局|门式起重机
起27桂B00060(18)|特种设备使用登记|2018年12月26日|-|柳州市行政审批局|门式起重机
起27桂B00059(18)|特种设备使用登记|2018年12月26日|-|柳州市行政审批局|门式起重机
起00桂B00003(18)|特种设备使用登记|2018年12月26日|-|柳州市行政审批局|起重机械
起27桂B00058(18)|特种设备使用登记|2018年12月26日|-|柳州市行政审批局|门式起重机
起27桂B00057(18)|特种设备使用登记|2018年12月26日|-|柳州市行政审批局|门式起重机
起27桂B00056(18)|特种设备使用登记|2018年12月26日|-|柳州市行政审批局|门式起重机
起27桂B00011(19)|特种设备使用登记|2019年01月03日|-|柳州市行政审批局|门式起重机
起27桂B00010(19)|特种设备使用登记|2019年01月03日|-|柳州市行政审批局|门式起重机
起11桂B00009(19)|特种设备使用登记|2019年01月03日|-|柳州市行政审批局|桥式起重机
起27桂B00009(19)|特种设备使用登记|2019年01月03日|-|柳州市行政审批局|门式起重机
起27桂B00008(19)|特种设备使用登记|2019年01月03日|-|柳州市行政审批局|门式起重机
梯12桂B00022(19)|特种设备使用登记|2019年01月08日|-|柳州市行政审批局|曳引与强制驱动电梯
梯12桂B00021(19)|特种设备使用登记|2019年01月08日|-|柳州市行政审批局|曳引与强制驱动电梯
起10桂B00004(19)|特种设备使用登记|2019年01月08日|-|柳州市行政审批局|桥式起重机
起17桂B00053(19)|特种设备使用登记|2019年01月08日|-|柳州市行政审批局|桥式起重机
起17桂B00052(19)|特种设备使用登记|2019年01月08日|-|柳州市行政审批局|桥式起重机
车11桂B00007(19)|特种设备使用登记|2019年01月09日|-|柳州市行政审批局|机动工业车辆
车11桂B00009(19)|特种设备使用登记|2019年01月09日|-|柳州市行政审批局|机动工业车辆
车11桂B00008(19)|特种设备使用登记|2019年01月09日|-|柳州市行政审批局|机动工业车辆
起19桂B00011(19)|特种设备使用登记|2019年01月25日|-|柳州市行政审批局|桥式起重机
起11桂B00082(19)|特种设备使用登记|2019年01月25日|-|柳州市行政审批局|桥式起重机
起19桂B00010(19)|特种设备使用登记|2019年01月25日|-|柳州市行政审批局|桥式起重机
起19桂B00009(19)|特种设备使用登记|2019年01月25日|-|柳州市行政审批局|桥式起重机
起19桂B00008(19)|特种设备使用登记|2019年01月25日|-|柳州市行政审批局|桥式起重机
起17桂B00165(19)|特种设备使用登记|2019年01月28日|-|柳州市行政审批局|桥式起重机
起17桂B00164(19)|特种设备使用登记|2019年01月28日|-|柳州市行政审批局|桥式起重机
起17桂B00163(19)|特种设备使用登记|2019年01月28日|-|柳州市行政审批局|桥式起重机
起17桂B00162(19)|特种设备使用登记|2019年01月28日|-|柳州市行政审批局|桥式起重机
起17桂B00161(19)|特种设备使用登记|2019年01月28日|-|柳州市行政审批局|桥式起重机
起17桂B00160(19)|特种设备使用登记|2019年01月28日|-|柳州市行政审批局|桥式起重机
起17桂B00159(19)|特种设备使用登记|2019年01月28日|-|柳州市行政审批局|桥式起重机
起17桂B00158(19)|特种设备使用登记|2019年01月28日|-|柳州市行政审批局|桥式起重机
起17桂B00175(19)|特种设备使用登记|2019年01月28日|-|柳州市行政审批局|桥式起重机
起17桂B00174(19)|特种设备使用登记|2019年01月28日|-|柳州市行政审批局|桥式起重机
起17桂B00173(19)|特种设备使用登记|2019年01月28日|-|柳州市行政审批局|桥式起重机
起17桂B00172(19)|特种设备使用登记|2019年01月28日|-|柳州市行政审批局|桥式起重机
起17桂B00171(19)|特种设备使用登记|2019年01月28日|-|柳州市行政审批局|桥式起重机
起17桂B00170(19)|特种设备使用登记|2019年01月28日|-|柳州市行政审批局|桥式起重机
起17桂B00169(19)|特种设备使用登记|2019年01月28日|-|柳州市行政审批局|桥式起重机
起17桂B00168(19)|特种设备使用登记|2019年01月28日|-|柳州市行政审批局|桥式起重机
起17桂B00167(19)|特种设备使用登记|2019年01月28日|-|柳州市行政审批局|桥式起重机
起17桂B00166(19)|特种设备使用登记|2019年01月28日|-|柳州市行政审批局|桥式起重机
起19桂B00017(19)|特种设备使用登记|2019年01月28日|-|柳州市行政审批局|桥式起重机
起11桂B00105(19)|特种设备使用登记|2019年01月28日|-|柳州市行政审批局|桥式起重机
起19桂B00016(19)|特种设备使用登记|2019年01月28日|-|柳州市行政审批局|桥式起重机
起11桂B00104(19)|特种设备使用登记|2019年01月28日|-|柳州市行政审批局|桥式起重机
起11桂B00103(19)|特种设备使用登记|2019年01月28日|-|柳州市行政审批局|桥式起重机
容1LC桂B40195|特种设备使用登记|2019年01月28日|-|柳州市行政审批局|固定式压力容器
容1LC桂B40202|特种设备使用登记|2019年01月28日|-|柳州市行政审批局|固定式压力容器
容1LC桂B40194|特种设备使用登记|2019年01月28日|-|柳州市行政审批局|固定式压力容器
容3LC桂B40340|特种设备使用登记|2019年01月28日|-|柳州市行政审批局|压力容器
容3LC桂B40341|特种设备使用登记|2019年01月28日|-|柳州市行政审批局|压力容器
容3LC桂B40342|特种设备使用登记|2019年01月28日|-|柳州市行政审批局|压力容器
容1LC桂B40196|特种设备使用登记|2019年01月28日|-|柳州市行政审批局|固定式压力容器
容1LC桂B40322|特种设备使用登记|2019年01月28日|-|柳州市行政审批局|压力容器
容1LC桂B40261|特种设备使用登记|2019年01月28日|-|柳州市行政审批局|固定式压力容器
容1LC桂B40213|特种设备使用登记|2019年01月28日|-|柳州市行政审批局|固定式压力容器
容1LC桂B40197|特种设备使用登记|2019年01月28日|-|柳州市行政审批局|固定式压力容器
容1LC桂B40008|特种设备使用登记|2019年01月28日|-|柳州市行政审批局|固定式压力容器
容1LC桂B40006|特种设备使用登记|2019年01月28日|-|柳州市行政审批局|固定式压力容器
容1LC桂B40007|特种设备使用登记|2019年01月28日|-|柳州市行政审批局|固定式压力容器
容1LC桂BB0317|特种设备使用登记|2019年01月28日|-|柳州市行政审批局|固定式压力容器
容1LC桂B40269|特种设备使用登记|2019年01月28日|-|柳州市行政审批局|固定式压力容器
容1LC桂B40014|特种设备使用登记|2019年01月28日|-|柳州市行政审批局|固定式压力容器
容 1LC桂B40735|特种设备使用登记|2019年01月28日|-|柳州市行政审批局|固定式压力容器
起17桂B00244(19)|特种设备使用登记|2019年02月18日|-|柳州市行政审批局|桥式起重机
车11桂B00245(19)|特种设备使用登记|2019年03月11日|-|柳州市行政审批局|机动工业车辆
起10桂B00019(18)|特种设备使用登记|2019年04月24日|-|柳州市行政审批局|桥式起重机
起10桂B00014(18)|特种设备使用登记|2019年04月24日|-|柳州市行政审批局|桥式起重机
起27桂B00056(18)|特种设备使用登记|2019年04月24日|-|柳州市行政审批局|门式起重机
容1LC桂B40322|特种设备使用登记|2019年04月24日|-|柳州市行政审批局|压力容器
起10桂B00016(18)|特种设备使用登记|2019年04月24日|-|柳州市行政审批局|桥式起重机
起10桂B00030(18)|特种设备使用登记|2019年04月24日|-|柳州市行政审批局|桥式起重机
起10桂B00034(18)|特种设备使用登记|2019年04月24日|-|柳州市行政审批局|桥式起重机
起10桂B00020(18)|特种设备使用登记|2019年04月24日|-|柳州市行政审批局|桥式起重机
起10桂B00029(18)|特种设备使用登记|2019年04月24日|-|柳州市行政审批局|桥式起重机
起27桂B00055(18)|特种设备使用登记|2019年04月24日|-|柳州市行政审批局|门式起重机
起10桂B00018(18)|特种设备使用登记|2019年04月24日|-|柳州市行政审批局|桥式起重机
起10桂B00017(18)|特种设备使用登记|2019年04月24日|-|柳州市行政审批局|桥式起重机
起17桂B00542(19)|特种设备使用登记|2019年04月29日|-|柳州市行政审批局|桥式起重机
起10桂B00012(19)|特种设备使用登记|2019年04月29日|-|柳州市行政审批局|桥式起重机
起10桂B00011(19)|特种设备使用登记|2019年04月29日|-|柳州市行政审批局|桥式起重机
起11桂B00264(19)|特种设备使用登记|2019年04月29日|-|柳州市行政审批局|桥式起重机
起17桂B00543(19)|特种设备使用登记|2019年04月29日|-|柳州市行政审批局|桥式起重机
起11桂B00263(19)|特种设备使用登记|2019年04月29日|-|柳州市行政审批局|桥式起重机
起17桂B00539(19)|特种设备使用登记|2019年04月29日|-|柳州市行政审批局|桥式起重机
起17桂B00541(19)|特种设备使用登记|2019年04月29日|-|柳州市行政审批局|起重机械
起17桂B00540(19)|特种设备使用登记|2019年04月29日|-|柳州市行政审批局|桥式起重机
起17桂B00538(19)|特种设备使用登记|2019年04月29日|-|柳州市行政审批局|桥式起重机
起17桂B00537(19)|特种设备使用登记|2019年04月29日|-|柳州市行政审批局|桥式起重机
起桂B00536(19)|特种设备使用登记|2019年04月29日|-|柳州市行政审批局|起重机械
起11桂B00265(19)|特种设备使用登记|2019年04月29日|-|柳州市行政审批局|桥式起重机
起17桂B00536(19)|特种设备使用登记|2019年04月29日|-|柳州市行政审批局|桥式起重机
起17桂B00535(19)|特种设备使用登记|2019年04月29日|-|柳州市行政审批局|起重机械
起17桂B00534(19)|特种设备使用登记|2019年04月29日|-|柳州市行政审批局|桥式起重机
起17桂B00533(19)|特种设备使用登记|2019年04月29日|-|柳州市行政审批局|桥式起重机
起17桂B00532(19)|特种设备使用登记|2019年04月29日|-|柳州市行政审批局|桥式起重机
起11桂B00262(19)|特种设备使用登记|2019年04月29日|-|柳州市行政审批局|桥式起重机
