2019-01-18|孟国华故意伤害罪一审刑事判决书|故意伤害罪|被告-内蒙古伊东集团东兴化工有限责任公司|（2018）内0921刑初44号|https://www.tianyancha.com/lawsuit/81404ad4dc2b463a81b014d89cc7fcd9
2017-09-01|陕西橡六胶带股份有限公司与内蒙古伊东集团东兴化工有限责任公司、孙帮成买卖合同纠纷民事一审裁定书|买卖合同纠纷|原告-陕西橡六胶带股份有限公司被告-内蒙古伊东集团东兴化工有限责任公司|（2017）陕0502民初1420号之二|https://www.tianyancha.com/lawsuit/facecef60cb511e881ec008cfaf870e0
2017-05-11|淄博水环真空泵厂有限公司、内蒙古伊东集团东兴化工有限责任公司买卖合同纠纷执行实施类执行裁定书|买卖合同纠纷|申请执行人-淄博水环真空泵厂有限公司被执行人-内蒙古伊东集团东兴化工有限责任公司|（2016）鲁0304执1937号|https://www.tianyancha.com/lawsuit/b0daa7c9cda742a4a59063180c177087
2017-04-20|内蒙古伊东集团东兴化工有限责任公司与山东省章丘鼓风机股份有限公司买卖合同纠纷民事裁定书|买卖合同纠纷|上诉人-内蒙古伊东集团东兴化工有限责任公司被上诉人-山东省章丘鼓风机股份有限公司|（2017）鲁01民辖终410号|https://www.tianyancha.com/lawsuit/351e255b470d4f85a3fc2d0c720bbe50
2017-03-17|内蒙古伊东集团东兴化工有限责任公司与香港建达国际发展有限公司申请确认仲裁协议效力一审民事裁定书|申请确认仲裁协议效力|申请人-内蒙古伊东集团东兴化工有限责任公司被申请人-香港建达国际发展有限公司|（2016）京04民特53号|https://www.tianyancha.com/lawsuit/47d9bd4b003d4737963877521697e882
2016-12-05|内蒙古伊东集团东兴化工有限责任公司与鹤见真空工程（上海）有限公司鹤买卖合同纠纷二审民事判决书|买卖合同纠纷|上诉人-内蒙古伊东集团东兴化工有限责任公司被上诉人-鹤见真空工程（上海）有限公司|（2016）内09民终452号|https://www.tianyancha.com/lawsuit/1b998c9c70f041e9b99ba59e842a1460
2016-11-30|内蒙古伊东集团东兴化工有限责任公司与郑林娥劳动争议纠纷二审民事判决书|劳动争议|上诉人-内蒙古伊东集团东兴化工有限责任公司|（2016）内09民终612号|https://www.tianyancha.com/lawsuit/7ab34ec230c0467b8c134c15ef349ecf
2016-11-28|原告包头市德生化工建材有限责任公司与被告内蒙古伊东集团东兴化工有限责任公司买卖合同纠纷民事判决书|买卖合同纠纷|原告-包头市德生化工建材有限责任公司被告-内蒙古伊东集团东兴化工有限责任公司|（2016）内0921民初522号|https://www.tianyancha.com/lawsuit/451ad0cd59674dcfbd04bbbde500d422
2016-10-31|湖北圣迪容器制造有限公司与内蒙古伊东集团东兴化工有限责任公司承揽合同纠纷一审民事判决书|承揽合同纠纷|原告-湖北圣迪容器制造有限公司被告-内蒙古伊东集团东兴化工有限责任公司|（2016）鄂1083民初1077号|https://www.tianyancha.com/lawsuit/888a60cc4b374febb3cff32bc855869d
2016-10-21|淄博水环真空泵厂有限公司与内蒙古伊东集团东兴化工有限责任公司买卖合同纠纷二审民事判决书|买卖合同纠纷|上诉人-内蒙古伊东集团东兴化工有限责任公司被上诉人-淄博水环真空泵厂有限公司|（2016）鲁03民终2707号|https://www.tianyancha.com/lawsuit/c0553fdda4434cfcb114f75743746e9c
2016-10-20|淄博水环真空泵厂有限公司与内蒙古伊东集团东兴化工有限责任公司买卖合同纠纷一审民事裁定书|买卖合同纠纷|原告-淄博水环真空泵厂有限公司被告-内蒙古伊东集团东兴化工有限责任公司|（2016）鲁0304民初2460号|https://www.tianyancha.com/lawsuit/ea068224e42542b1a9ddaf56889c0c6c
2016-09-23|申请执行人北京桑德环境工程有限公司与内蒙古伊东集团东兴化工有限责任公司合同、无因管理、不当得利纠纷执行裁定书|不当得利纠纷|申请执行人-北京桑德环境工程有限公司被执行人-内蒙古伊东集团东兴化工有限责任公司|（2016）内0921执72号|https://www.tianyancha.com/lawsuit/08b99343168340e08f51b3c25f19d849
2016-08-29|河南佰嘉新型节能材料有限公司与内蒙古伊东集团东兴化工有限责任公司买卖合同纠纷二审民事裁定书|买卖合同纠纷|上诉人-内蒙古伊东集团东兴化工有限责任公司被上诉人-河南佰嘉新型节能材料有限公司|（2016）豫07民辖终320号|https://www.tianyancha.com/lawsuit/02052e28f64f4039962c6f09b830e403
2016-08-11|原告张翔与被告陈锦瑞、被告中国人寿财产保险股份有限公司张家口市区支公司机动车交通事故责任纠纷民事判决书|机动车交通事故责任纠纷|原告-内蒙古伊东集团东兴化工有限责任公司被告-中国人寿财产保险股份有限公司张家口市区支公司|（2016）内0921民初295号|https://www.tianyancha.com/lawsuit/c5e7a5046a7c4a358b3aa002a040565a
2016-01-25|河南佰嘉新型节能材料有限公司与内蒙古伊东集团东兴化工有限公司买卖合同纠纷一审民事裁定书|买卖合同纠纷|原告-河南佰嘉新型节能材料有限公司被告-东兴化工有限公司,内蒙古伊东集团东兴化工有限责任公司|（2015）获民初字第1726-3号|https://www.tianyancha.com/lawsuit/57206957cd124d4282bd1de51f795b07
2016-01-25|河南佰嘉新型节能材料有限公司与内蒙古伊东集团东兴化工有限公司买卖合同纠纷一审民事裁定书|买卖合同纠纷|原告-河南佰嘉新型节能材料有限公司被告-东兴化工有限公司,内蒙古伊东集团东兴化工有限责任公司|（2015）获民初字第1726—3号|https://www.tianyancha.com/lawsuit/120383efde604e6386379be4c89917dd
2015-12-15|安徽瑞之星电缆集团有限公司与内蒙古伊东集团东兴化工有限责任公司定作合同纠纷一审民事裁定书|定作合同纠纷|原告-安徽瑞之星电缆集团有限公司被告-内蒙古伊东集团东兴化工有限责任公司|（2015）无民二初字第00470-5号|https://www.tianyancha.com/lawsuit/a647c51b165b42fab1692173d0d7cbd3
2015-12-15|安徽瑞之星电缆集团有限公司与内蒙古伊东集团东兴化工有限责任公司定作合同纠纷一审民事裁定书|定作合同纠纷|申请执行人-安徽瑞之星电缆集团有限公司被执行人-内蒙古伊东集团东兴化工有限责任公司|（2015）无民二初字第00470-4号|https://www.tianyancha.com/lawsuit/c86051baab734ee0a692ce74e45250f8
2015-12-09|上海艾录包装股份有限公司与内蒙古伊东集团东兴化工有限责任公司定作合同纠纷一审民事裁定书|定作合同纠纷|原告-上海艾录包装股份有限公司被告-内蒙古伊东集团东兴化工有限责任公司|（2015）金民二（商）初字第1707号|https://www.tianyancha.com/lawsuit/73042fc7979449d38550f9ef5b733cb8
2015-10-23|内蒙古伊东集团东兴化工有限责任公司与安徽瑞之星电缆集团有限公司定作合同纠纷二审民事裁定书|定作合同纠纷|上诉人-内蒙古伊东集团东兴化工有限责任公司被上诉人-安徽瑞之星电缆集团有限公司|（2015）芜中立终字第00260号|https://www.tianyancha.com/lawsuit/5835137c0ee24a66a31ea020c7620fd6
2015-10-19|阿特拉斯·科普柯(上海)贸易有限公司与内蒙古伊东集团东兴化工有限责任公司买卖合同纠纷一审民事裁定书|买卖合同纠纷|原告-阿特拉斯·科普柯（上海）贸易有限公司被告-内蒙古伊东集团东兴化工有限责任公司|（2015）浦民二（商）初字第3661号之一|https://www.tianyancha.com/lawsuit/451da679610d4438a41bbd649756d2ca
2015-10-14|安徽瑞之星电缆集团有限公司与内蒙古伊东集团东兴化工有限责任公司定作合同纠纷一审民事裁定书|定作合同纠纷|原告-安徽瑞之星电缆集团有限公司被告-内蒙古伊东集团东兴化工有限责任公司|（2015）无民二初字第00470-3号|https://www.tianyancha.com/lawsuit/6d8d71c8a66444b592e69f251abbd344
2015-08-28|阿特拉斯·科普柯(上海)贸易有限公司与内蒙古伊东集团东兴化工有限责任公司买卖合同纠纷一审民事裁定书|买卖合同纠纷|原告-阿特拉斯·科普柯（上海）贸易有限公司被告-内蒙古伊东集团东兴化工有限责任公司|（2015）浦民二（商）初字第3661号|https://www.tianyancha.com/lawsuit/f6cd72c625644c19a7ab9148f6a303b9
2015-07-15|安徽瑞之星电缆集团有限公司与内蒙古伊东集团东兴化工有限责任公司买卖合同纠纷一审民事裁定书|买卖合同纠纷|原告-安徽瑞之星电缆集团有限公司被告-内蒙古伊东集团东兴化工有限责任公司|（2015）无民二初字第00470-1号|https://www.tianyancha.com/lawsuit/185ce29002f5433b892b1eb0d2f63e8b
2015-04-30|青岛富恒得实业有限公司与淄博铁兴经贸有限公司、内蒙古伊东集团东兴化工有限责任公司票据纠纷二审民事判决书|票据纠纷|上诉人-青岛富恒得实业有限公司被上诉人-淄博铁兴经贸有限公司,内蒙古伊东集团东兴化工有限责任公司|（2015）青金商终字第81号|https://www.tianyancha.com/lawsuit/12f322e21cb611e6b554008cfae40dc0
2015-04-13|江苏民生特种设备集团有限公司与内蒙古伊东集团东兴化工有限责任公司定作合同纠纷一审民事裁定书（2）|定作合同纠纷|原告-江苏民生特种设备集团有限公司被告-内蒙古伊东集团东兴化工有限责任公司|（2015）泰靖园商初字第24-2号|https://www.tianyancha.com/lawsuit/79f6334a1cb911e6b554008cfae40dc0
2014-10-28|青岛富恒得实业有限公司与淄博铁兴经贸有限公司、内蒙古伊东集团东兴化工有限责任公司票据纠纷一审民事判决书|票据纠纷|原告-青岛富恒得实业有限公司被告-淄博铁兴经贸有限公司,内蒙古伊东集团东兴化工有限责任公司|（2014）崂民三商重字第1号|https://www.tianyancha.com/lawsuit/0e7ff3281cbc11e6b554008cfae40dc0
2014-10-14|安徽瑞之星电缆集团有限公司与内蒙古伊东集团东兴化工有限责任公司买卖合同纠纷一审民事裁定书|买卖合同纠纷|原告-安徽瑞之星电缆集团有限公司被告-内蒙古伊东集团东兴化工有限责任公司|（2015）无民二初字第00470-3号|https://www.tianyancha.com/lawsuit/b9d571ddc27b4a9885f103fe3a71dfc8
-|原告吴忠仪表有限责任公司与被告内蒙古伊东集团东兴化工有限责任公司买卖合同纠纷民事判决书|买卖合同纠纷|原告-吴忠仪表有限责任公司被告-内蒙古伊东集团东兴化工有限责任公司|（2016）内0921民初540号|https://www.tianyancha.com/lawsuit/fef12636bc11481f8c85c27f0830717c
-|宁夏仓满制桶有限公司与内蒙古伊东集团东兴化工有限责任公司买卖合同纠纷一审民事裁定书|买卖合同纠纷|原告-宁夏仓满制桶有限公司被告-内蒙古伊东集团东兴化工有限责任公司|（2016）宁0521民初2494号|https://www.tianyancha.com/lawsuit/41872503a50e41b187756c5aaab48ce4
