2019-03-19|五寨县万通实业有限责任公司与内蒙古绿缘能源开发有限公司与公司有关的纠纷一审民事判决书|与公司有关的纠纷|原告-五寨县万通实业有限责任公司被告-内蒙古绿缘能源开发有限公司|（2016）晋民初52号|https://www.tianyancha.com/lawsuit/857c618f845e43a3b493d26f29836352
2017-12-23|中国工商银行股份有限公司乌兰察布集宁支行与内蒙古绿缘能源开发有限公司借款合同纠纷一案执行裁定书|借款合同纠纷|申请执行人-中国工商银行股份有限公司乌兰察布集宁支行被执行人-内蒙古绿缘能源开发有限公司|（2017）内09执56号之六|https://www.tianyancha.com/lawsuit/762137f20cb511e881ec008cfaf870e0
2017-12-23|中国工商银行股份有限公司乌兰察布集宁支行与内蒙古绿缘能源开发有限公司借款合同纠纷一案执行裁定书|借款合同纠纷|申请执行人-中国工商银行股份有限公司乌兰察布集宁支行被执行人-内蒙古绿缘能源开发有限公司|（2017）内09执56号之四|https://www.tianyancha.com/lawsuit/76281f6a0cb511e881ec008cfaf870e0
2017-12-23|中国工商银行股份有限公司乌兰察布集宁支行与内蒙古绿缘能源开发有限公司借款合同纠纷一案执行裁定书|借款合同纠纷|申请执行人-中国工商银行股份有限公司乌兰察布集宁支行被执行人-内蒙古绿缘能源开发有限公司|（2017）内09执56号之三|https://www.tianyancha.com/lawsuit/76310af10cb511e881ec008cfaf870e0
2017-12-23|中国工商银行股份有限公司乌兰察布集宁支行与内蒙古绿缘能源开发有限公司借款合同纠纷一案执行裁定书|借款合同纠纷|申请执行人-中国工商银行股份有限公司乌兰察布集宁支行被执行人-内蒙古绿缘能源开发有限公司|（2017）内09执56号之二|https://www.tianyancha.com/lawsuit/763a9e1e0cb511e881ec008cfaf870e0
2017-12-23|中国工商银行股份有限公司乌兰察布集宁支行与内蒙古绿缘能源开发有限公司借款合同纠纷一案执行裁定书|借款合同纠纷|申请执行人-中国工商银行股份有限公司乌兰察布集宁支行被执行人-内蒙古绿缘能源开发有限公司|（2017）内09执56号之一|https://www.tianyancha.com/lawsuit/7647caeb0cb511e881ec008cfaf870e0
2017-11-06|中国煤炭销售运输有限责任公司等合同一案执行裁定书|-|申请执行人-中国煤炭销售运输有限责任公司被执行人-内蒙古绿缘能源开发有限公司,内蒙古绿缘投资有限公司,河北晋秦合盛煤炭贸易有限公司|（2017）京03执异182号|https://www.tianyancha.com/lawsuit/b9486a9e79be11e8a8b47cd30ae00894
2017-10-20|中国工商银行股份有限公司乌兰察布集宁支行、张文芝合同纠纷二审民事判决书|合同纠纷|上诉人-中国工商银行股份有限公司乌兰察布集宁支行被上诉人-内蒙古绿缘能源开发有限公司,中国煤炭销售运输有限责任公司|（2016）最高法民终705号|https://www.tianyancha.com/lawsuit/76561ab00cb511e881ec008cfaf870e0
2017-08-02|河北铁盛贸易有限公司与内蒙古绿缘能源开发有限公司买卖合同纠纷执行裁定书|买卖合同纠纷|申请执行人-河北铁盛贸易有限公司被执行人-内蒙古绿缘能源开发有限公司|（2017）晋7103执2号之二|https://www.tianyancha.com/lawsuit/318f3aba9da111e788a5008cfaf8725a
2016-12-21|中国煤炭销售运输有限责任公司与内蒙古绿缘能源开发有限公司等执行裁定书|-|申请执行人-中国煤炭销售运输有限责任公司被执行人-内蒙古绿缘能源开发有限公司,河北晋秦合盛煤炭贸易有限公司,内蒙古绿缘投资有限公司|（2016）京03执411号|https://www.tianyancha.com/lawsuit/168fda7b4c754628b4f469b2751d2f46
2016-12-14|中国煤炭销售运输有限责任公司与内蒙古绿缘能源开发有限公司等执行裁定书|-|申请执行人-中国煤炭销售运输有限责任公司被执行人-内蒙古绿缘能源开发有限公司,河北晋秦合盛煤炭贸易有限公司,内蒙古绿缘投资有限公司|（2016）京03执411号之一|https://www.tianyancha.com/lawsuit/466c83302e674f1d875fac7b14298644
2016-07-12|中国煤炭销售运输有限责任公司与内蒙古绿缘能源开发有限公司等买卖合同纠纷一审民事判决书|买卖合同纠纷|原告-中国煤炭销售运输有限责任公司被告-内蒙古绿缘能源开发有限公司,河北晋秦合盛煤炭贸易有限公司,内蒙古绿缘投资有限公司,山西五寨沙泉铁路建设有限责任公司|2015年三中民（商）初字第04703号|https://www.tianyancha.com/lawsuit/ee8e35d1f2b44f658a74653d5d761091
2016-07-12|中国煤炭销售运输有限责任公司与内蒙古绿缘能源开发有限公司等买卖合同纠纷一审民事裁定书|买卖合同纠纷|原告-中国煤炭销售运输有限责任公司被告-内蒙古绿缘能源开发有限公司,河北晋秦合盛煤炭贸易有限公司,内蒙古绿缘投资有限公司,山西五寨沙泉铁路建设有限责任公司|2015年三中民（商）初字第04703号|https://www.tianyancha.com/lawsuit/7925e85961c24509a97f5d2e909a6f08
2015-12-31|中国煤炭销售运输有限责任公司与内蒙古绿缘能源开发有限公司等买卖合同纠纷一审民事判决书|买卖合同纠纷|原告-中国煤炭销售运输有限责任公司被告-内蒙古绿缘能源开发有限公司,河北晋秦合盛煤炭贸易有限公司,内蒙古绿缘投资有限公司,山西五寨沙泉铁路建设有限责任公司|（2015）三中民（商）初字第04703号|https://www.tianyancha.com/lawsuit/6d3c9f4031564e758652163a180bce39
2015-06-10|中国煤炭销售运输有限责任公司与内蒙古绿缘能源开发有限公司等买卖合同纠纷一审民事裁定书|买卖合同纠纷|原告-中国煤炭销售运输有限责任公司被告-内蒙古绿缘能源开发有限公司,河北晋秦合盛煤炭贸易有限公司,内蒙古绿缘投资有限公司,山西五寨沙泉铁路建设有限责任公司|（2015）三中民（商）初字第04703-2号|https://www.tianyancha.com/lawsuit/4abdd5bf56d14678b9f9967d3f63080e
