2019-04-24|ＸＸ与苏政伟、冯四女等建设工程合同纠纷二审民事裁定书|建设工程合同纠纷|被上诉人-内蒙古天骄公路工程有限责任公司,鄂尔多斯市物流园区建设投资有限公司|（2018）内06民终2238号|https://www.tianyancha.com/lawsuit/328ec89aa24540f3bd7fd5b1747ed291
2017-12-20|深圳市奥宇节能技术股份有限公司与鄂尔多斯市物流园区建设投资有限公司买卖合同纠纷一案划拨执行裁定书|买卖合同纠纷|申请执行人-深圳市奥宇节能技术股份有限公司被执行人-鄂尔多斯市物流园区建设投资有限公司|（2017）内0627执144号|https://www.tianyancha.com/lawsuit/09961dc43ad911e8b0207cd30ae00c08
2017-12-20|雷科电气有限公司与鄂尔多斯市物流园区建设投资有限公司买卖合同纠纷解封裁定书|买卖合同纠纷|申请执行人-电器有限公司被执行人-鄂尔多斯市物流园区建设投资有限公司|（2017）内0627执163号之一|https://www.tianyancha.com/lawsuit/103be014958211e8a8b47cd30ae00894
2017-12-20|雷科电气有限公司与鄂尔多斯市物流园区建设投资有限公司买卖合同纠纷解封裁定书|买卖合同纠纷|申请执行人-电器有限公司被执行人-鄂尔多斯市物流园区建设投资有限公司|（2017）内0627执163号|https://www.tianyancha.com/lawsuit/efb1428b3e1011e8b0207cd30ae00c08
2017-12-20|雷科电气有限公司与鄂尔多斯市物流园区建设投资有限公司买卖合同纠纷解封裁定书|买卖合同纠纷|申请执行人-电器有限公司被执行人-鄂尔多斯市物流园区建设投资有限公司|（2017）内0627执163号之三|https://www.tianyancha.com/lawsuit/940cf4ea428711e8b0207cd30ae00c08
2017-09-21|冯玉娃、崔红革与江苏山水建设集团有限公司、江苏山水建设集团有限公司阿康中心物流园区绿化工程项目部等承揽合同纠纷一审民事判决书|承揽合同纠纷|被告-江苏山水建设集团有限公司,鄂尔多斯市物流园区建设投资有限公司|（2013）伊民初字第880号|https://www.tianyancha.com/lawsuit/83a9d2ddbf7711e788a5008cfaf8725a
2017-09-21|北京宜联工贸有限公司与鄂尔多斯市物流园区建设投资有限公司买卖合同纠纷一审民事判决书|买卖合同纠纷|原告-北京宜联工贸有限公司被告-鄂尔多斯市物流园区建设投资有限公司|（2017）内0627民初3075号|https://www.tianyancha.com/lawsuit/386b5ff2006511e881ec008cfaf870e0
2016-10-26|广东通鑫起重机科技有限公司诉鄂尔多斯市物流园区建设投资有限公司、鄂尔多斯市鸿汗精密电子有限公司买卖合同纠纷一案一审民事判决书|买卖合同纠纷|原告-广东通鑫起重机科技有限公司被告-鄂尔多斯市物流园区建设投资有限公司,鄂尔多斯市鸿汗精密电子有限公司|（2016）内0627民初3184号|https://www.tianyancha.com/lawsuit/4fbdbaa5961c11e8a8b47cd30ae00894
2016-08-10|广东通鑫起重机科技有限公司与鄂尔多斯市物流园区建设投资有限公司、鄂尔多斯市鸿汗精密电子有限公司买卖合同纠纷一审民事判决书|买卖合同纠纷|原告-广东通鑫起重机科技有限公司被告-鄂尔多斯市物流园区建设投资有限公司,鄂尔多斯市鸿汗精密电子有限公司|（2016）内0627民初3184号|https://www.tianyancha.com/lawsuit/5fe178c7f94f4f1a887ed6830aa4ca84
2016-07-15|原告鄂尔多斯市龙舟电子商贸有限责任公司与被告鄂尔多斯市物流园区建设投资有限公司买卖合同纠纷一案一审民事裁定书|买卖合同纠纷|原告-鄂尔多斯市龙舟电子商贸有限责任公司被告-鄂尔多斯市物流园区建设投资有限公司|（2016）内0627民初2912号|https://www.tianyancha.com/lawsuit/bcf68d70f64a404683df13fc7ddf1ff5
2016-07-15|鄂尔多斯市龙舟电子商贸公司诉鄂尔多斯市物流园区建设投资有限公司买卖合同纠纷一审民事裁定书|买卖合同纠纷|原告-鄂尔多斯市龙舟电子商贸有限责任公司被告-鄂尔多斯市物流园区建设投资有限公司|（2016）内0627民初2912号|https://www.tianyancha.com/lawsuit/4a26a83469a74b38b4d5d4b5a0e84c9c
